StationID_Master	Alg.Metrics.SampID	AlgalSampIdent	RepNum	CollDate	PollTolClass.1.tot	PollTolClass.2.tot	PollTolClass.3.tot	PollTolClass.11.tot	pHClass.2.tot	pHClass.3.tot	pHClass.4.tot	pHClass.5.tot	pHClass.6.tot	SalinityClass.1.tot	SalinityClass.2.tot	SalinityClass.3.tot	SalinityClass.4.tot	N_UptakeClass.1.tot	N_UptakeClass.2.tot	N_UptakeClass.3.tot	N_UptakeClass.4.tot	OxygenClass.1.tot	OxygenClass.2.tot	OxygenClass.3.tot	OxygenClass.4.tot	OxygenClass.5.tot	SaprobityClass.1.tot	SaprobityClass.2.tot	SaprobityClass.3.tot	SaprobityClass.4.tot	SaprobityClass.5.tot	TrophicClass.1.tot	TrophicClass.2.tot	TrophicClass.3.tot	TrophicClass.4.tot	TrophicClass.5.tot	TrophicClass.6.tot	TrophicClass.7.tot	MoistureClass.1.tot	MoistureClass.2.tot	MoistureClass.3.tot	MoistureClass.4.tot	MoistureClass.5.tot	MotilityClass.H.tot	MotilityClass.M.tot	MotilityClass.N.tot	MotilityClass.V.tot	PhosphorusClass.H.tot	PhosphorusClass.L.tot	NitrogenClass.H.tot	NitrogenClass.L.tot
LCHAL004.59	LCHAL004.59_2007-06-04_43_1	43	1	6/4/2007	1.3333	3.6667	13.6667	0	0	15.3333	3.1667	0.1667	0	0	18.1667	0.5	0	0.5	16.5	0.8333	0.5	13.6667	0.5	2.8333	1.3333	0	0	14.1667	0	3.6667	0.5	0	0.8333	13.5	0	1	0.5	2.8333	0.3333	0.6667	14.8333	0.1667	0	0.5	13.5	4.6667	0	1.3333	14	3.6667	13.8333
LCHAL008.83	LCHAL008.83_2007-06-05_31_1	31	1	6/5/2007	2.1667	9.8333	23.6667	0	0	4.5	30.6667	0.5	0	0	35.1667	0.5	0	1.1667	32.1667	1.1667	0.5	2.5	22	9	1.5	0	0	24.8333	0.8333	9.1667	0.3333	0	1.1667	1.5	0.3333	3.5	0.3333	28.8333	20.6667	2	4.3333	0.6667	0	1.3333	2.6667	31.1667	0.5	1.5	2.3333	9.1667	3.3333
LCHAL010.20	LCHAL010.20_2007-06-07_34_1	34	1	6/7/2007	0.1667	5.3333	22.3333	0	0	1.8333	25.6667	0.3333	0	0.1667	27.6667	0	0	1.3333	25.8333	0.1667	0	1	22.1667	4.1667	0.1667	0	0.3333	23.3333	0.5	3.6667	0	0	0.3333	0.8333	1	0.3333	0	25	21.1667	1.6667	0.5	0.6667	0	0.1667	2.5	25.1667	0	0.3333	0.6667	3.8333	0.6667
LCLCR211.73	LCLCR211.73_2007-04-25_53_1	53	1	4/25/2007	0.5	9.6667	2.6667	0	0	1.1667	10	1.6667	0	0.1667	4.5	8.1667	0	1.6667	6.1667	0	0	4.6667	2	2	3.3333	0	0	7.3333	3.8333	1	0	0	0.6667	0.3333	0.3333	10.6667	0	0.8333	1	2.5	8.5	0	0	0.6667	8.5	3	0.6667	8.3333	1.3333	3.8333	3
LCLCR211.73	LCLCR211.73_2007-05-14_54_1	54	1	5/14/2007	1.6181	71.0356	8.0906	0	0	8.2524	71.8447	0.6472	0	0.1618	27.9935	52.589	0	0.4854	72.6537	0.3236	0.8091	5.3398	2.1036	25.5663	46.2783	0	0	8.5761	70.712	0.8091	0.3236	0	0.3236	0.8091	1.1327	71.8447	0.3236	6.3107	0.4854	6.7961	72.1683	0.3236	0	2.7508	58.2524	19.4175	0.3236	52.9126	0.3236	49.3528	18.4466
LCLCR311.31	LCLCR311.31_2007-04-10_50_1	50	1	4/10/2007	35.0785	14.6597	5.2356	0	0	34.555	18.8482	1.0471	0	0.5236	5.7592	45.5497	2.6178	0	14.1361	1.0471	34.555	0.5236	4.712	2.6178	41.8848	1.0471	0	6.8063	9.9476	4.1885	33.5079	0	0	0.5236	3.6649	14.1361	36.1257	0	4.1885	2.0942	48.1675	0	0	42.9319	9.9476	2.0942	0	48.6911	0	49.2147	0.5236
LCLCR340.02	LCLCR340.02_2007-04-18_61_1	61	1	4/18/2007	6.135	27.454	22.8528	0	0	7.6687	44.3252	4.4479	0	4.908	34.5092	14.7239	2.3006	3.0675	40.184	1.3804	4.4479	1.3804	31.135	17.3313	3.2209	0.9202	0.3067	34.9693	9.6626	10.7362	0.6135	0	0.7669	5.9816	9.3558	31.7485	2.9141	5.6748	17.3313	7.0552	28.5276	0.3067	0	20.3988	17.3313	18.7117	0	14.8773	2.9141	33.2822	7.2086
LCLCR342.03	LCLCR342.03_2007-04-12_41_1	41	1	4/12/2007	3.937	20	31.0236	0	0	9.2913	40.6299	4.4094	0	0	40.4724	13.2283	0.9449	4.0945	47.4016	0.9449	1.5748	7.874	22.8346	20.1575	3.3071	0	0	31.9685	16.6929	5.0394	0.6299	0.315	0.1575	6.9291	2.9921	38.2677	0.7874	5.1969	14.0157	7.0866	31.0236	0.6299	0	7.7165	32.126	14.6457	0.4724	5.8268	8.189	22.3622	14.0157
LCLCR360.06	LCLCR360.06_2007-06-06_45_1	45	1	6/6/2007	4.8333	14.3333	3.1667	0	0	5.1667	17.1667	0	0	0	16.8333	5.5	0	0	17.5	2	2.8333	0.3333	3.1667	12.8333	6	0	0	4	7	9	2.3333	0	0	0.3333	1.8333	8.8333	2.3333	9	0.6667	2.8333	11.3333	0	0	5.5	4.6667	12.1667	0	7.3333	0.3333	17.1667	2.5
LCLVL001.32	LCLVL001.32_2007-06-13_62_1	62	1	6/13/2007	4.3333	19.3333	5.8333	0	0	7.3333	22.1667	0	0	0.1667	24	4.5	0.8333	1.6667	21.5	1	2.8333	3.3333	5.5	15.8333	2.5	0	1	11.6667	1.5	13.6667	1.6667	0	0.5	2.6667	3.5	5.3333	2.3333	15.1667	1.6667	3.6667	10.8333	1	0	7.6667	4.1667	17.5	0.1667	6.1667	2.5	18.8333	2.8333
LCMIN018.05	LCMIN018.05_2007-06-29_38_1	38	1	6/29/2007	0.8333	29.8333	8.5	0	0	4.1667	33.8333	0.8333	0	0	38.6667	0.1667	0	1	36.1667	0.3333	0.1667	2	4.1667	31.1667	0.3333	0	0	11.3333	2.5	25	0	0	0.5	3	2.5	8.5	0	24.3333	0.1667	6.1667	7.1667	0.1667	0	2	5	32.1667	0	0.3333	2.8333	26.5	5.1667
LCMLK001.18	LCMLK001.18_2007-05-22_33_1	33	1	5/22/2007	1.3333	22	11	0	0	2.6667	30.6667	0.5	0	0	32.6667	1	0.3333	0.3333	32	0.5	0.3333	2	9.8333	20.5	0.8333	0	0	12.5	12.1667	9.1667	0	0.1667	0	2	7	15.8333	0.3333	8.6667	0.8333	0.3333	24.3333	0.3333	0	7.6667	5.6667	21	0	1.6667	1.6667	18.3333	13.6667
LCMRS043.17	LCMRS043.17_2007-05-24_32_1	32	1	5/24/2007	0.9346	14.486	3.271	0	0	2.5701	16.1215	0	0	1.8692	16.8224	0	0	0	16.3551	0	0	3.0374	8.1776	7.0093	0	0	0	14.2523	0.2336	4.2056	0	0	0.2336	1.8692	4.4393	5.3738	0	6.7757	4.9065	2.1028	7.9439	0.2336	0	8.1776	3.972	6.5421	0	2.3364	0.7009	9.5794	0.9346
LCRIG004.87	LCRIG004.87_2007-05-10_42_1	42	1	5/10/2007	8	15.1667	2.1667	0	0	6.6667	18.1667	0.3333	0	0	15.6667	9.5	0	0.1667	17	0.3333	7.3333	0.8333	4	14.8333	5	0.1667	0	5.1667	3.3333	12	4.6667	0	0.8333	0	1.8333	6.6667	4.6667	11.1667	1.3333	3.3333	10.1667	2.1667	0	10.8333	4.1667	10.3333	0	8.5	1.8333	17.6667	2
LCRUD003.45	LCRUD003.45_2007-05-23_46_1	46	1	5/23/2007	8.3333	23.1667	5.8333	0	0	8.5	26.8333	2	0	2	29.3333	5.3333	0.6667	1.3333	25.8333	4.3333	2.3333	1	13.1667	12.8333	8.8333	0	0	14.1667	4.3333	17.1667	1.1667	0	3.3333	2	5	16	1.1667	9.5	6.3333	11.8333	16.5	0	0	14.3333	11	12	0	13.5	8.5	20.8333	6.8333
LCRUD007.23	LCRUD007.23_2007-06-28_60_1	60	1	6/28/2007	0.8333	29	7	0	0	6.6667	29.1667	0.3333	0	2.1667	32.6667	1.3333	0	0	33.3333	0	0.6667	4.3333	10	21	0.8333	0	0	15	2	18.8333	0.3333	0	0	6.3333	5.6667	5.3333	0.3333	18.5	3.3333	0.5	14.1667	0	0	9.5	6.1667	21.1667	0	3.3333	4.3333	28.1667	6.3333
LCSHL026.50	LCSHL026.50_2007-04-17_40_1	40	1	4/17/2007	2.1173	19.2182	9.4463	0	0	9.6091	19.7068	1.4658	0	0	27.3616	3.2573	0.1629	1.4658	20.3583	0.9772	0	2.2801	11.2378	7.1661	2.1173	0	0	14.658	6.0261	2.7687	0	0	7.329	2.1173	5.8632	13.355	0	2.1173	6.0261	2.7687	13.5179	0	0	6.5147	5.3746	17.4267	1.4658	2.443	3.2573	8.6319	6.3518
LCSHL029.75	LCSHL029.75_2007-06-26_58_1	58	1	6/26/2007	1.3333	5.1667	13.1667	0	0	1.6667	13	4.6667	0	0.1667	15.8333	3.6667	0	4.8333	12.3333	1.3333	0.6667	0.5	12.6667	5	0.5	0.6667	0	13.3333	2	3.6667	0.3333	0.3333	0	0.5	1	13.8333	0.3333	3.6667	2.8333	6.8333	7.6667	0	0	2.8333	10	6.5	0.3333	2.3333	1.1667	8.8333	6.5
LCSHL031.05	LCSHL031.05_2007-04-16_44_1	44	1	4/16/2007	2.2409	13.1653	25.7703	0	0	4.2017	22.6891	14.2857	0	0.4202	36.8347	3.9216	0	1.5406	33.1933	2.6611	1.2605	0.9804	26.7507	8.6835	1.8207	0.8403	0.1401	28.4314	4.902	5.1821	0.7003	0	1.8207	3.5014	15.9664	14.7059	0.7003	4.4818	17.507	5.8824	14.1457	0.1401	0	6.4426	8.5434	25.9104	0.2801	4.4818	4.7619	13.8655	5.8824
LCSIL041.04	LCSIL041.04_2007-04-24_35_1	35	1	4/24/2007	3.0255	6.6879	9.2357	0	0	3.3439	13.8535	0.9554	0	0.9554	14.3312	2.8662	0	2.2293	11.6242	0.9554	2.3885	1.2739	11.465	2.707	2.707	0	0	13.3758	0.9554	1.7516	2.0701	0	0	0.9554	5.5732	8.4395	2.0701	1.1146	2.5478	3.6624	11.1465	0	0	9.0764	5.5732	3.0255	1.2739	4.1401	1.9108	12.5796	2.0701
LCSIL043.84	LCSIL043.84_2007-06-27_51_1	51	1	6/27/2007	0.3333	3.3333	4	0	0	1.5	5.8333	0	0	0	5.5	1.8333	0	0.3333	4.1667	1	1.3333	0.3333	2.3333	3.8333	0.3333	0	0	4.1667	2.5	0.3333	0.1667	0	0	0	2.3333	3.6667	0.1667	1.1667	1.8333	2.1667	3.1667	0.1667	0	4.6667	2	0.6667	0.3333	2.6667	0.5	3.1667	0.8333
LCSLR001.42	LCSLR001.42_2007-05-21_37_1	37	1	5/21/2007	4.5	10.6667	25.5	0	0	3	29.6667	7.6667	0	0	29.5	10.8333	0	7.3333	30.3333	0.1667	1.5	2.1667	22.6667	12.3333	2.1667	0	0	27.8333	4.8333	7.1667	0.1667	0	1	1.1667	4.8333	28.6667	0.1667	4.5	9.1667	12.6667	14.1667	1.3333	0	5.5	13.8333	19.6667	1.6667	3.3333	4	11.6667	12.8333
LCSLR003.72	LCSLR003.72_2007-06-21_59_1	59	1	6/21/2007	2.4194	12.9032	28.2258	0	0	5.4839	36.6129	1.4516	0	0	25.9677	17.5806	0	1.7742	41.2903	0	0.4839	5.3226	26.9355	10	1.2903	0	0	33.2258	1.4516	8.871	0	0	0.1613	5	4.8387	25.9677	0	7.5806	16.2903	2.5806	17.9032	0	0	5.3226	12.4194	25.6452	0.1613	1.9355	6.6129	16.4516	9.0323
MGAFR110.01	MGAFR110.01_2015-04-14_66_1	66	1	4/14/2015	70.0997	26.7442	2.8239	0	0	6.6445	43.3555	0	0	5.1495	35.5482	9.3023	0	0	13.4551	5.814	21.5947	0.3322	24.9169	9.8007	6.1462	0	0	12.2924	4.9834	26.7442	48.0066	5.1495	0	0	0.9967	60.6312	20.598	4.6512	0	1.8272	12.1262	23.4219	0	16.4452	28.9037	8.6379	0	27.2425	0	35.2159	0
MGAFR110.01	MGAFR110.01_2016-04-04_96_1	96	1	4/4/2016	9.6506	59.7338	27.1215	0.6656	6.1564	5.6572	80.1997	0.3328	0	0	66.5557	25.7903	0.3328	0.3328	68.8852	13.6439	1.9967	2.6622	35.1082	24.2928	23.2945	0	0	43.7604	28.4526	12.812	1.1647	0	0	0.3328	22.7953	52.9118	1.3311	9.1514	9.1514	8.6522	60.8985	0.6656	0	42.2629	26.6223	27.1215	0	46.9218	1.8303	73.7105	1.8303
MGHSR002.67	MGHSR002.67_2015-04-08_67_1	67	1	4/8/2015	6.6446	89.7013	3.6542	0	0	1.6611	88.8707	0.4985	0	0.166	7.8072	82.5586	1.495	0.8305	2.4912	79.5689	5.3159	0.8305	3.3221	79.4025	4.3194	0.3321	0.8305	2.8233	78.9044	4.8175	2.1595	0.166	0	0	0.3321	86.7112	3.3224	1.1626	0.3321	4.9828	82.7253	2.1595	0	85.8807	10.2991	2.9897	0	86.2131	0	88.8711	0.8305
MGHSR048.20	MGHSR048.20_2015-04-15_68_1	68	1	4/15/2015	28.7415	53.8912	12.5748	0	0	14.9728	71.8538	0	0	0	44.9082	43.1156	0	11.3775	38.9218	10.7789	23.9524	1.1973	10.7755	38.3231	18.5646	7.1871	11.3775	6.5851	37.1258	26.3469	5.9898	0	0	0	23.9524	45.5068	8.983	9.5816	14.9694	22.1565	34.7313	6.5851	0	26.9456	47.3028	19.7619	0	34.7313	0	58.6837	0
MGHSR058.80	MGHSR058.80_2015-04-15_69_1	69	1	4/15/2015	33.8755	46.4514	19.6731	0	0	2.7313	86.881	0	0	5.4653	23.4986	66.1138	0	16.3934	33.3351	8.194	33.3297	4.3712	2.734	46.9918	24.5873	0.5457	16.3934	4.9196	64.4766	7.1025	0.5457	1.0941	0	0	13.1163	68.8451	0.5457	7.1052	33.8782	3.2797	44.2578	5.4653	0	44.8035	43.1717	10.9307	0	33.8755	0	42.0722	0
MGSSW000.38	MGSSW000.38_2015-04-22_70_1	70	1	4/22/2015	5.3331	42.3334	52.167	0	0.3334	15.3331	64.5005	0	0	1.0001	75.0002	4	1.0001	1.6668	57.5004	8.8332	4.1665	11.8334	40.8335	14.8336	4.333	0	1.0001	60.3337	9.8335	8.333	0.6667	1.3334	0.3334	0.3334	8.1668	47.8333	1.8333	20.8334	4.3333	14.3337	53.1667	1.4999	0	33.6668	42.8333	22.5001	0.3334	10.8333	10.8333	53.8338	10.8333
SCCIE004.25	SCCIE004.25_2001-07-04_1_1	1	1	7/4/2001	11.4504	3.0534	35.8779	0	0	12.2137	36.6412	1.5267	0	0	28.2443	22.1374	0	3.8168	38.1679	8.3969	0	3.0534	29.0076	9.9237	8.3969	0	0	38.1679	3.8168	8.3969	0	0	0	0	0	46.5649	0	3.8168	19.084	19.8473	11.4504	0	0	3.8168	4.5802	38.9313	3.0534	18.3206	3.0534	20.6107	3.8168
SCCIE004.25	SCCIE004.25_2001-07-04_1_2	1	2	7/4/2001	23.5294	11.7647	41.1765	0	0	35.2941	41.1765	0	0	0	52.9412	23.5294	0	5.8824	52.9412	17.6471	0	11.7647	23.5294	23.5294	17.6471	0	0	47.0588	5.8824	23.5294	0	0	0	5.8824	0	52.9412	0	17.6471	23.5294	23.5294	29.4118	0	0	5.8824	5.8824	52.9412	11.7647	23.5294	23.5294	23.5294	23.5294
SCCIE006.69	SCCIE006.69_2001-07-04_2_1	2	1	7/4/2001	2.7778	12.5	11.9444	0	0	14.1667	13.0556	0	0	0	22.2222	4.7222	0.2778	6.6667	17.5	3.0556	0	6.6667	6.1111	11.9444	2.5	0	0	13.0556	11.3889	2.7778	0	0	0.8333	0	0	15.2778	0	11.1111	15.2778	7.5	4.4444	0	0	0.8333	0.8333	9.1667	16.3889	3.8889	16.6667	4.4444	16.6667
SCCIE020.88	SCCIE020.88_2001-07-04_3_1	3	1	7/4/2001	24.2424	3.0303	36.3636	0	0	30.303	27.2727	6.0606	0	0	45.4545	18.1818	0	6.0606	51.5152	6.0606	0	0	45.4545	12.1212	6.0606	0	0	54.5455	0	9.0909	0	0	0	0	6.0606	36.3636	0	21.2121	0	33.3333	30.303	0	0	18.1818	12.1212	33.3333	0	39.3939	3.0303	39.3939	15.1515
SCCIE020.88	SCCIE020.88_2001-07-04_3_2	3	2	7/4/2001	44.4444	5.5556	11.1111	0	0	44.4444	16.6667	0	0	0	16.6667	44.4444	0	0	61.1111	0	0	0	50	11.1111	0	0	0	55.5556	0	5.5556	0	0	0	0	0	11.1111	0	50	0	11.1111	50	0	0	44.4444	5.5556	11.1111	0	44.4444	5.5556	50	5.5556
SCCIE026.68	SCCIE026.68_2001-07-04_4_1	4	1	7/4/2001	8.6957	26.9565	32.1739	0	0	18.2609	46.087	3.4783	0	0	61.7391	6.087	0	0	60.8696	2.6087	2.6087	3.4783	26.087	31.3043	5.2174	0	0	33.0435	6.087	24.3478	2.6087	0	1.7391	0	5.2174	23.4783	2.6087	34.7826	0	31.3043	34.7826	0	0	13.0435	28.6957	26.087	0	12.1739	21.7391	29.5652	23.4783
SCCIE026.68	SCCIE026.68_2001-07-04_4_2	4	2	7/4/2001	9.6774	17.7419	54.8387	0	0	33.871	32.2581	16.129	0	0	82.2581	0	0	6.4516	66.129	9.6774	0	6.4516	32.2581	33.871	9.6774	0	0	54.8387	3.2258	24.1935	0	0	0	0	24.1935	43.5484	0	14.5161	0	37.0968	45.1613	0	0	16.129	32.2581	27.4194	6.4516	25.8065	20.9677	17.7419	48.3871
SCMAD012.71	SCMAD012.71_2001-07-04_5_1	5	1	7/4/2001	2.4691	29.6296	22.2222	0	0	20.9877	30.8642	0	0	0	45.679	6.1728	0	11.1111	38.2716	2.4691	0	13.5802	12.3457	23.4568	2.4691	0	0	29.6296	3.7037	18.5185	0	0	8.642	2.4691	3.7037	17.284	0	19.7531	8.642	23.4568	19.7531	0	0	0	12.3457	37.037	4.9383	2.4691	23.4568	4.9383	27.1605
SCMAD012.71	SCMAD012.71_2001-07-04_5_2	5	2	7/4/2001	0	74.4548	7.4766	0	0	6.2305	75.0779	0.6231	0	0	81.9315	0	0	2.8037	74.4548	0	0	2.1807	3.1153	71.9626	0	0	0	5.919	1.5576	69.7819	0	0	4.6729	0.9346	1.5576	3.4268	0	71.3396	1.2461	74.7664	1.2461	0	0	1.5576	2.1807	76.0125	2.1807	0	72.8972	1.2461	72.5857
SCRED005.58	SCRED005.58_2001-07-04_6_1	6	1	7/4/2001	0	0	4.3222	0	0	0.7859	3.5363	0	0	0	1.7682	2.554	0	0	4.3222	0	0	0	3.3399	0.9823	0	0	0	3.5363	0.7859	0	0	0	0	0	0	3.5363	0	0.7859	2.554	1.7682	0	0	0	0	0.7859	3.5363	0	0.7859	0	0.7859	0
SCSAB005.40	SCSAB005.40_2001-07-04_7_1	7	1	7/4/2001	5.618	4.4944	37.0787	0	0	10.1124	35.9551	1.1236	0	0	21.3483	25.8427	0	5.618	40.4494	1.1236	0	4.4944	38.2022	2.2472	0	0	2.2472	43.8202	1.1236	0	0	0	2.2472	2.2472	13.4831	23.5955	0	5.618	20.2247	0	26.9663	0	0	17.9775	6.7416	22.4719	0	7.8652	2.2472	19.1011	3.3708
SCSAB007.15	SCSAB007.15_2015-05-05_71_1	71	1	5/5/2015	5.8238	70.5489	22.296	0	0	25.2911	52.0801	10.9819	0	1.3312	42.263	45.0917	0	12.8122	20.1328	9.1516	41.0984	14.1431	18.303	46.7556	4.1596	0	0.3327	35.441	46.922	5.8238	0.3327	0	0.3327	6.4893	10.8156	54.0765	2.8287	14.3095	3.4939	45.7574	27.288	2.6624	0	53.2446	17.9703	23.4606	1.4975	11.3144	19.4678	10.6489	24.4596
SCSAB009.77	SCSAB009.77_2001-07-04_8_1	8	1	7/4/2001	19.1489	11.7021	5.3191	0	0	23.9362	12.234	0	0	0	17.0213	19.1489	0	1.5957	30.3191	0.5319	0	1.5957	20.2128	10.1064	0.5319	0	0	25	0	7.4468	0	0	4.7872	0	1.0638	4.7872	0	25.5319	0.5319	10.6383	21.2766	0	0	19.6809	0	15.9574	0.5319	19.1489	7.4468	20.2128	7.4468
SCSAB009.77	SCSAB009.77_2001-07-04_8_2	8	2	7/4/2001	9.8361	17.2131	24.5902	0	0	13.1148	33.6066	4.918	0	0	44.2623	7.377	0	6.5574	33.6066	9.8361	0	1.6393	19.6721	18.8525	9.8361	0	0	22.9508	1.6393	25.4098	0	0	1.6393	0	4.0984	28.6885	0	17.2131	8.1967	26.2295	15.5738	0	0	4.0984	9.0164	36.8852	1.6393	10.6557	17.2131	16.3934	22.1311
SCSCR034.31	SCSCR034.31_2007-07-04_9_1	9	1	7/4/2007	67.5	2.1667	2.8333	0	0	63.8333	8.6667	0	0	0	10.5	62	0	0	4.3333	4.1667	64	0	2.8333	2.8333	66.8333	0	0	2.8333	1.1667	7.6667	60.8333	0	0	0	2.8333	7.8333	60.8333	1	0	0	70.8333	0.6667	0	65.5	3	4	0	68	0	71.8333	0
