StationCode	SampleDate	StationDateRep	H20	H21	H23	D18	S2	propAchMin	propTaxaZHR	RAWDO100	RAWDO50	RAWlowN	RAWlowP	RAWNhet	RAWeutro	RAWpropBiovolChlor	RAWpropBiovolZHR	RAWmeanZHR	RAWlowTPsp	RAWpropGreenCRUS	PCT_MAP	PCT_MCP	PCT_MIAT1	totalSoftBiovol_um3cm2	microalgalEntityCount	diatomCount
404BA0084	6/4/2008 0:00:00	404BA0084_6/4/2008_1	56.00	53.00	51.00	54.00	47.00	0.01	0.25	0.01	0.93	0.02	0.02	0.18	0.87	0.05	0.03	0.14	0.12	0.66				2886428261.00	300.00	600.00
404BA0104	6/18/2008 0:00:00	404BA0104_6/18/2008_1	54.00	43.00	49.00	60.00	25.00	3.0e-03	0.15	0.30	0.96	0.29	0.04	0.08	0.72	1.00	0.00	0.07	0.00	0.98				40404651947.00	300.00	600.00
404BA0142	6/18/2008 0:00:00	404BA0142_6/18/2008_1	70.00	59.00	65.00	70.00	57.00	0.03	0.23	0.03	0.99	0.04	0.05	0.08	0.94	0.57	0.18	0.20	0.18	0.66				60608188302.00	300.00	600.00
404BA0376	6/5/2008 0:00:00	404BA0376_6/5/2008_1	51.00	49.00	48.00	60.00	30.00	0.00	0.07	7.0e-03	0.97	0.24	0.29	0.26	0.63	0.66	0.02	0.04	0.07	0.91				11544163381.00	300.00	600.00
404BA0526	6/4/2008 0:00:00	404BA0526_6/4/2008_1	42.00	37.00	40.00	32.00	57.00	2.0e-03	0.30	0.01	0.88	6.0e-03	7.0e-03	0.36	0.92	0.04	0.06	0.18	0.10	0.33				14430057443.00	300.00	600.00
404BA0616	6/3/2008 0:00:00	404BA0616_6/3/2008_1	35.00	26.00	24.00	26.00	35.00	0.00	0.08	9.0e-03	0.63	0.04	0.04	0.28	0.95	0.50	0.00	0.04	0.08	1.00				25974137387.00	300.00	600.00
404BA0808	6/2/2008 0:00:00	404BA0808_6/2/2008_1	58.00	49.00	51.00	60.00	40.00	0.06	0.16	0.28	0.97	0.27	0.07	0.13	0.59	0.80	0.16	0.16	0.06	0.80				2913819115.00	300.00	600.00
404BA0852	6/3/2008 0:00:00	404BA0852_6/3/2008_1	16.00	11.00	15.00	6.00	25.00	0.00	0.09	2.0e-03	0.53	0.02	0.02	0.60	0.97	0.51	0.00	0.04	0.00	0.96				5773665565.00	300.00	600.00
404BA0964	6/4/2008 0:00:00	404BA0964_6/4/2008_1	75.00	66.00	70.00	78.00	62.00	0.13	0.40	0.18	0.99	0.45	0.44	0.06	0.54	0.46	0.11	0.25	0.20	0.47				8690758310.00	300.00	600.00
404BA1128	6/19/2008 0:00:00	404BA1128_6/19/2008_1	42.00	39.00	39.00	48.00	28.00	0.00	0.14	0.02	0.83	0.02	2.0e-03	0.15	0.96	0.82	0.01	0.07	0.00	0.78				14448027725.00	300.00	600.00
404BA1144	6/10/2008 0:00:00	404BA1144_6/10/2008_1	54.00	43.00	54.00	40.00	72.00	0.01	0.34	0.01	0.95	0.27	0.11	0.40	0.78	0.34	0.41	0.37	0.15	0.12				57733461815.00	300.00	600.00
404BA1166	6/10/2008 0:00:00	404BA1166_6/10/2008_1	52.00	51.00	49.00	60.00	33.00	0.11	0.20	0.11	0.96	0.12	0.15	0.10	0.87	0.53	0.03	0.11	0.06	0.90				31752293745.00	300.00	600.00
404BA1166	6/4/2009 0:00:00	404BA1166_6/4/2009_1	46.00	39.00	40.00	50.00	28.00	7.0e-03	0.11	0.01	0.78	0.07	0.04	0.12	0.98	0.83	0.00	0.05	0.00	0.98	29.00	6.00	7.00	20202203609.00	300.00	600.00
404S00808	6/22/2010 0:00:00	404S00808_6/22/2010_1	55.00	41.00	59.00	54.00	60.00	0.08	0.28	0.39	0.93	0.14	0.16	0.21	0.57	0.95	0.03	0.15	0.04	0.09	52.00	8.00	0.00	31757145703.00	300.00	600.00
404S01128	6/23/2010 0:00:00	404S01128_6/23/2010_1	52.00	47.00	48.00	66.00	17.00	0.00	0.00	0.09	0.95	0.01	0.01	0.08	0.89	1.00	0.00	0.00	0.00	0.97	18.00	3.00	0.00	54834065424.00	300.00	600.00
404S02920	5/12/2009 0:00:00	404S02920_5/12/2009_1	39.00	31.00	32.00	24.00	53.00	3.0e-03	0.21	7.0e-03	0.53	5.0e-03	6.0e-03	0.05	0.99	0.03	0.03	0.12	0.15	0.50	24.14	50.23	0.00	12914273474.00	300.00	600.00
404S03048	5/13/2009 0:00:00	404S03048_5/13/2009_1	16.00	21.00	12.00	20.00	10.00	0.00	0.00	4.0e-03	0.41	9.0e-03	0.01	0.02	0.98	0.51	0.00	0.00	0.00	1.00	6.96	59.02	0.00	14431353218.00	300.00	600.00
404S05992	5/12/2009 0:00:00	404S05992_5/12/2009_1	20.00	14.00	18.00	20.00	10.00	0.00	0.00	0.00	0.52	0.20	0.20	0.11	0.81	1.00	0.00	0.00	0.00	1.00	2.94	45.85	0.00	31746615293.00	300.00	600.00
404S06456	5/14/2009 0:00:00	404S06456_5/14/2009_1	45.00	31.00	41.00	32.00	58.00	0.00	0.33	9.0e-03	0.91	0.06	0.08	0.35	0.92	0.68	0.26	0.29	0.11	0.70	40.87	8.78	0.00	62309585976.00	300.00	600.00
404S08040	5/12/2009 0:00:00	404S08040_5/12/2009_1	60.00	79.00	76.00	86.00	43.00	0.40	0.04	0.91	0.96	0.82	0.89	0.07	0.08	0.42	0.53	0.29	0.04	0.00	44.88	5.85	0.00	72915002.73	300.00	600.00
404S08616	5/13/2009 0:00:00	404S08616_5/13/2009_1	62.00	53.00	69.00	66.00	63.00	2.0e-03	0.27	0.67	0.95	0.02	0.03	0.01	0.13	0.83	0.10	0.19	0.04	0.00	75.25	15.11	0.00	289000000000.00	300.00	600.00
404S08846	6/22/2010 0:00:00	404S08846_6/22/2010_1	65.00	44.00	62.00	58.00	77.00	0.00	0.42	0.00	0.99	0.01	0.09	0.03	0.97	0.94	0.03	0.22	0.21	0.00	71.00	0.00	0.00	54834263689.00	300.00	600.00
404S11406	5/11/2009 0:00:00	404S11406_5/11/2009_1	45.00	49.00	45.00	68.00	7.00	0.00	0.00	0.13	0.98	0.00	0.00	0.03	0.86	1.00	0.00	0.00	0.00	1.00	71.17	67.80	0.00	194000000000.00	300.00	600.00
404S11880	6/7/2011 0:00:00	404S11880_6/7/2011_1	20.00	14.00	18.00	20.00	13.00	8.0e-03	0.00	0.27	0.72	0.01	0.01	0.35	0.61	0.99	0.00	0.00	0.07	0.98	50.00	3.00	1.00	3089888564.00	331.00	600.00
404S13160	6/21/2010 0:00:00	404S13160_6/21/2010_1	49.00	39.00	42.00	54.00	27.00	0.00	0.12	0.02	0.85	0.03	0.05	0.09	0.92	0.99	0.00	0.06	0.00	1.00	10.00	11.00	0.00	2888101559.00	300.00	600.00
404S13416	6/8/2011 0:00:00	404S13416_6/8/2011_1	28.00	33.00	29.00	44.00	2.00	0.00	0.00	0.07	0.80	0.02	0.01	0.18	0.88	0.97	0.00	0.00	0.00	0.99	41.00	0.00	0.00	2308838899.00	300.00	600.00
404S13672	6/8/2011 0:00:00	404S13672_6/8/2011_1	40.00	44.00	41.00	60.00	13.00	0.02	0.05	0.06	0.95	0.07	0.07	0.10	0.89	0.99	0.00	0.02	0.00	0.99	89.00	0.00	0.00	513000000000.00	302.00	600.00
404S14952	6/15/2011 0:00:00	404S14952_6/15/2011_1	16.00	17.00	18.00	24.00	5.00	0.01	0.00	0.11	0.71	0.03	0.03	0.29	0.88	1.00	0.00	0.00	0.00	0.98	43.00	54.00	0.00	162000000000.00	305.00	600.00
404S16168	6/23/2010 0:00:00	404S16168_6/23/2010_1	51.00	41.00	48.00	54.00	40.00	3.0e-03	0.41	0.11	0.98	0.02	0.01	0.06	0.88	0.98	0.02	0.21	0.08	0.99	72.00	10.00	0.00	50934176048.00	300.00	600.00
404S16232	6/9/2011 0:00:00	404S16232_6/9/2011_1	34.00	39.00	38.00	46.00	20.00	0.01	0.05	0.12	0.82	0.05	0.06	0.18	0.83	0.57	0.00	0.02	0.00	0.82	45.00	1.00	0.00	60864267624.00	301.00	600.00
404S16516	5/18/2009 0:00:00	404S16516_5/18/2009_1	28.00	24.00	25.00	34.00	12.00	2.0e-03	0.09	0.16	0.72	2.0e-03	8.0e-03	0.28	0.83	1.00	0.00	0.04	0.00	1.00	76.16	5.85	0.00	63498699017.00	300.00	600.00
404S17266	5/19/2009 0:00:00	404S17266_5/19/2009_1	35.00	24.00	28.00	32.00	23.00	7.0e-03	0.00	7.0e-03	0.73	0.02	0.03	0.29	0.95	0.97	0.00	0.00	0.00	0.94	49.28	16.09	0.00	31746221684.00	300.00	600.00
404S17664	5/20/2009 0:00:00	404S17664_5/20/2009_1	48.00	44.00	48.00	52.00	43.00	0.00	0.00	0.11	0.89	5.0e-03	7.0e-03	0.06	0.96	0.54	0.00	0.00	0.00	0.26	20.63	1.95	0.00	92353256760.00	300.00	600.00
404S18666	6/15/2011 0:00:00	404S18666_6/15/2011_1	42.00	46.00	45.00	58.00	17.00	8.0e-03	0.00	0.09	0.92	0.06	0.05	0.12	0.88	0.71	0.00	0.00	0.00	0.71	55.00	5.00	0.00	23122640316.00	302.00	600.00
404S22464	5/19/2009 0:00:00	404S22464_5/19/2009_1	30.00	33.00	32.00	46.00	5.00	0.00	0.00	0.56	0.80	4.0e-03	4.0e-03	0.18	0.43	1.00	0.00	0.00	0.00	0.84	45.35	9.76	0.00	64159563481.00	300.00	600.00
404S25668	6/23/2010 0:00:00	404S25668_6/23/2010_1	29.00	33.00	29.00	46.00	0.00	0.00	0.00	0.21	0.86	0.04	0.03	0.16	0.75	1.00	0.00	0.00	0.00	1.00	63.00	23.00	0.00	14430026469.00	11.00	479.00
408BA0036	5/5/2008 0:00:00	408BA0036_5/5/2008_1	45.00	40.00	36.00	52.00	5.00	0.00	0.00	0.76	0.88	0.76	0.00	0.17	0.24	0.88	0.00	0.00	0.00	0.86				141000000000.00	300.00	600.00
408BA0268	5/6/2008 0:00:00	408BA0268_5/6/2008_1	28.00	23.00	26.00	10.00	58.00	0.00	0.16	0.01	0.51	0.00	0.00	0.22	0.71	0.43	0.46	0.31	0.16	0.00				2886024673.00	300.00	600.00
408BA0580	5/7/2008 0:00:00	408BA0580_5/7/2008_1	10.00	7.00	11.00	10.00	12.00	0.03	0.06	0.08	0.37	0.08	0.08	0.68	0.87	1.00	0.00	0.03	0.00	1.00				23088649244.00	300.00	600.00
408BA0660	5/6/2008 0:00:00	408BA0660_5/6/2008_1	21.00	20.00	21.00	28.00	10.00	0.00	0.00	0.23	0.85	5.0e-03	6.0e-03	0.43	0.76	1.00	0.00	0.00	0.00	1.00				40406278134.00	300.00	600.00
408BA0836	5/7/2008 0:00:00	408BA0836_5/7/2008_1	21.00	16.00	22.00	22.00	17.00	0.00	0.00	0.03	0.75	0.04	0.01	0.35	0.92	1.00	0.00	0.00	0.00	0.99				57720152433.00	300.00	600.00
408BA0916	5/8/2008 0:00:00	408BA0916_5/8/2008_1	38.00	40.00	38.00	56.00	5.00	7.0e-03	0.00	0.04	0.89	0.04	0.01	0.13	0.95	1.00	0.00	0.00	0.00	0.99				63494007646.00	300.00	600.00
408PS0032	5/21/2008 0:00:00	408PS0032_5/21/2008_1	21.00	30.00	34.00	26.00	28.00	0.00	0.00	0.00	0.95	0.00	0.00	0.80	1.00	0.19	0.00	0.00	0.00	0.00				388073.42	300.00	600.00
412PS0020	5/14/2008 0:00:00	412PS0020_5/14/2008_1	15.00	17.00	19.00	22.00	15.00	0.01	0.05	0.08	0.92	0.05	0.12	0.53	0.90	0.99	1.0e-03	0.03	0.00	0.99				723762207.10	300.00	600.00
412PS0020	5/22/2008 0:00:00	412PS0020_5/22/2008_1	16.00	20.00	20.00	26.00	12.00	0.02	0.00	0.12	0.89	0.03	0.18	0.39	0.81	0.99	0.00	0.00	0.00	0.99				725684976.80	300.00	600.00
412PS0040	5/20/2008 0:00:00	412PS0040_5/20/2008_1	21.00	11.00	18.00	10.00	37.00	2.0e-03	0.15	0.03	0.78	0.01	0.02	0.69	0.95	0.80	0.06	0.11	0.08	0.90				84725969.74	300.00	600.00
412PS0052	5/20/2008 0:00:00	412PS0052_5/20/2008_1	8.00	9.00	12.00	6.00	25.00	0.10	0.04	0.33	0.45	0.14	0.24	0.56	0.65	0.83	9.0e-03	0.02	0.00	0.74				13456744.38	300.00	600.00
845PS0011	5/14/2008 0:00:00	845PS0011_5/14/2008_1	32.00	36.00	36.00	46.00	17.00	0.14	0.07	0.29	0.87	0.24	0.26	0.23	0.75	0.92	0.05	0.06	0.00	0.90				1443111231.00	300.00	600.00
845PS0011	5/29/2008 0:00:00	845PS0011_5/29/2008_1	38.00	27.00	31.00	36.00	32.00	0.13	0.04	0.20	0.74	0.16	0.19	0.27	0.80	0.99	0.00	0.02	0.10	0.99				362856835.50	300.00	600.00
901ATCAAS	6/5/2008 0:00:00	901ATCAAS_6/5/2008_1	85.00	97.00	98.00	98.00	80.00	0.88	0.23	0.89	0.99	0.89	0.89	7.0e-03	0.10	1.0e-03	0.99	0.61	0.07	0.00				723101732.80	300.00	600.00
901CSCADC	5/26/2011 0:00:00	901CSCADC_5/26/2011_1	94.00	97.00	98.00	98.00	93.00	0.67	0.26	0.77	1.00	0.68	0.75	0.02	0.19	0.01	0.98	0.62	0.23	0.00	17.00	3.00	7.00	2936008881.00	313.00	614.00
901DCCSMC	5/16/2011 0:00:00	901DCCSMC_5/16/2011_1	81.00	96.00	90.00	94.00	82.00	0.34	0.30	0.76	0.98	0.47	0.85	0.01	0.20	0.00	0.98	0.64	0.30	0.00	8.00	2.00	3.00	28956155.35	318.00	605.00
901PS0057	5/14/2008 0:00:00	901PS0057_5/14/2008_1	36.00	26.00	35.00	32.00	33.00	0.01	0.20	0.05	0.92	0.03	0.03	0.34	0.92	0.97	0.01	0.10	0.10	0.55				147584098.80	300.00	600.00
901S00313	4/30/2009 0:00:00	901S00313_4/30/2009_1	78.00	76.00	84.00	76.00	90.00	0.00	0.48	6.0e-03	0.98	0.58	0.58	0.02	0.41	0.14	0.69	0.58	0.17	0.00	49.24	2.92	11.21	35874181.60	300.00	600.00
901S00469	5/13/2009 0:00:00	901S00469_5/13/2009_1	70.00	63.00	74.00	64.00	87.00	0.03	0.38	0.39	0.89	0.50	0.45	0.16	0.48	0.36	0.61	0.49	0.25	0.00	22.41	39.00	47.95	33405282.29	300.00	600.00
901S00531	5/7/2009 0:00:00	901S00531_5/7/2009_1	16.00	1.00	10.00	2.00	30.00	0.00	0.00	0.05	0.61	0.04	0.04	0.80	0.92	1.00	0.00	0.00	0.00	0.97	98.04	4.88	0.00	44888137500.00	300.00	600.00
901S00997	5/14/2009 0:00:00	901S00997_5/14/2009_1	44.00	47.00	42.00	66.00	5.00	2.0e-03	0.00	0.78	0.96	0.01	0.05	0.04	0.21	1.00	0.00	0.00	0.00	0.98	77.05	12.93	23.62	154000000000.00	300.00	600.00
901S01705	5/14/2009 0:00:00	901S01705_5/14/2009_1	82.00	76.00	85.00	84.00	83.00	0.76	0.29	0.79	0.98	0.84	0.80	0.12	0.19	0.42	0.50	0.40	0.17	0.00	51.97	16.09	26.00	6507863576.00	300.00	600.00
901S01811	5/7/2009 0:00:00	901S01811_5/7/2009_1	15.00	17.00	15.00	24.00	0.00	0.00	0.00	0.01	0.12	0.00	0.00	0.17	0.98	1.00	0.00	0.00	0.00	1.00	25.37	36.09	0.98	8658178582.00	300.00	600.00
901S01849	6/1/2010 0:00:00	901S01849_6/1/2010_1	52.00	51.00	59.00	34.00	87.00	0.07	0.40	0.08	0.84	0.45	0.21	0.39	0.71	3.0e-03	0.97	0.69	0.09	0.00	31.00	8.00	19.00	5822518598.00	300.00	600.00
901S02702	6/2/2010 0:00:00	901S02702_6/2/2010_1	31.00	20.00	34.00	28.00	37.00	0.01	0.10	0.06	0.90	0.01	0.02	0.33	0.92	1.00	0.00	0.05	0.00	0.45	18.00	20.00	6.00	130000000000.00	300.00	600.00
901S02873	6/1/2010 0:00:00	901S02873_6/1/2010_1	74.00	73.00	81.00	72.00	85.00	0.10	0.32	0.24	0.96	0.45	0.34	0.08	0.53	0.23	0.75	0.53	0.16	0.00	9.00	50.00	0.00	314633399.80	300.00	600.00
901S04309	5/16/2011 0:00:00	901S04309_5/16/2011_1	74.00	57.00	75.00	76.00	68.00	0.09	0.23	0.14	0.96	0.47	0.49	0.05	0.59	0.90	0.05	0.14	0.18	0.00	25.00	10.00	12.00	9926246.45	305.00	632.00
901S04409	5/19/2011 0:00:00	901S04409_5/19/2011_1	74.00	54.00	68.00	56.00	92.00	0.00	0.36	0.00	0.99	0.03	0.00	0.64	0.98	0.54	0.42	0.39	0.33	0.00	14.00	3.00	0.00	149695.90	300.00	600.00
901S04565	5/26/2011 0:00:00	901S04565_5/26/2011_1	61.00	53.00	60.00	36.00	98.00	3.0e-03	0.50	8.0e-03	0.78	0.18	0.17	0.34	0.91	0.02	0.97	0.73	0.30	0.00	12.00	25.00	5.00	30200995.64	303.00	600.00
901S06030	4/30/2009 0:00:00	901S06030_4/30/2009_1	24.00	6.00	16.00	6.00	43.00	0.00	0.20	0.13	0.60	2.0e-03	2.0e-03	0.41	0.80	0.90	0.00	0.10	0.13	0.72	29.16	55.11	2.05	14448476985.00	300.00	600.00
901S06798	5/17/2011 0:00:00	901S06798_5/17/2011_1	21.00	21.00	24.00	30.00	12.00	0.00	0.15	0.00	0.75	0.09	0.10	0.22	0.92	1.00	0.00	0.07	0.00	1.00	14.00	21.00	0.00	14430069407.00	302.00	600.00
901S06851	5/19/2011 0:00:00	901S06851_5/19/2011_1	9.00	4.00	19.00	6.00	28.00	0.00	0.00	0.11	0.46	0.10	0.03	0.51	0.87	1.00	0.00	0.00	0.00	0.00	42.00	3.00	0.00	46774890.58	303.00	707.00
901S39498	5/18/2010 0:00:00	901S39498_5/18/2010_1	14.00	9.00	24.00	10.00	38.00	0.00	0.00	0.02	0.57	0.03	0.03	0.60	0.94	0.99	0.00	0.00	0.00	0.00	83.00	3.00	0.00	33245189.27	300.00	600.00
901S45253	5/18/2010 0:00:00	901S45253_5/18/2010_1	34.00	36.00	32.00	44.00	13.00	2.0e-03	0.10	0.01	0.64	0.29	0.34	0.22	0.67	0.72	0.00	0.05	0.00	0.95	91.00	25.00	37.00	37539564377.00	300.00	600.00
901SCCA74	6/8/2010 0:00:00	901SCCA74_6/8/2010_1	82.00	89.00	91.00	86.00	87.00	0.38	0.31	0.54	0.99	0.66	0.65	0.05	0.32	0.04	0.94	0.63	0.18	0.00	40.00	1.00	18.00	11983612433.00	354.00	600.00
901SJSJC9	5/5/2008 0:00:00	901SJSJC9_5/5/2008_1																								
901SJSMT2	5/5/2008 0:00:00	901SJSMT2_5/5/2008_1																								
901SJSMT3	5/8/2008 0:00:00	901SJSMT3_5/8/2008_1																								
902S00117	5/25/2010 0:00:00	902S00117_5/25/2010_1	31.00	24.00	31.00	32.00	28.00	3.0e-03	0.13	0.13	0.92	0.01	0.01	0.67	0.85	0.96	0.00	0.06	0.06	0.49	20.00	35.00	7.00	2886134485.00	300.00	600.00
902S00565	4/27/2009 0:00:00	902S00565_4/27/2009_1	31.00	36.00	31.00	50.00	0.00	0.01	0.00	0.49	0.84	0.02	0.02	0.16	0.49	1.00	0.00	0.00	0.00	1.00	36.94	12.19	0.00	6855250541.00	300.00	600.00
902S01097	5/11/2009 0:00:00	902S01097_5/11/2009_1	29.00	33.00	29.00	46.00	0.00	0.06	0.00	0.09	0.92	0.07	0.08	0.24	0.91	1.00	0.00	0.00	0.00	1.00	18.04	6.83	0.00	43290075123.00	300.00	600.00
902S02293	5/27/2010 0:00:00	902S02293_5/27/2010_1	45.00	50.00	48.00	70.00	10.00	0.22	0.06	0.65	0.93	0.41	0.47	0.15	0.34	1.00	0.00	0.03	0.00	1.00	71.00	33.00	3.00	31864897423.00	300.00	600.00
902S02357	5/25/2010 0:00:00	902S02357_5/25/2010_1	45.00	43.00	46.00	58.00	23.00	0.06	0.13	0.37	0.97	0.10	0.12	0.25	0.62	0.89	0.00	0.06	0.05	0.89	61.00	19.00	0.00	36586969280.00	300.00	600.00
902S05173	5/17/2011 0:00:00	902S05173_5/17/2011_1	49.00	44.00	49.00	62.00	27.00	0.05	0.09	0.18	0.98	0.06	0.10	8.0e-03	0.86	1.00	0.00	0.04	0.00	0.99	43.00	9.00	0.00	18278814827.00	308.00	287.00
902SMSND3	5/6/2008 0:00:00	902SMSND3_5/6/2008_1																								
902SMSTN1	5/6/2008 0:00:00	902SMSTN1_5/6/2008_1																								
903SLGRD2	5/9/2008 0:00:00	903SLGRD2_5/9/2008_1																								
903SLKYS3	5/7/2008 0:00:00	903SLKYS3_5/7/2008_1																								
903SLMSA2	5/9/2008 0:00:00	903SLMSA2_5/9/2008_1																								
904CBAQH6	5/6/2008 0:00:00	904CBAQH6_5/6/2008_1																								
904CBESC8	5/9/2008 0:00:00	904CBESC8_5/9/2008_1																								
904PS0034	5/13/2008 0:00:00	904PS0034_5/13/2008_1	26.00	11.00	26.00	14.00	40.00	0.01	0.00	0.09	0.61	0.03	0.03	0.29	0.89	0.94	0.00	0.00	0.00	0.00				10793.75	7.00	600.00
904S00537	5/4/2009 0:00:00	904S00537_5/4/2009_1	24.00	21.00	22.00	30.00	15.00	5.0e-03	0.00	0.09	0.74	7.0e-03	0.04	0.24	0.90	1.00	0.00	0.00	0.00	0.99	17.73	15.69	0.00	34913641261.00	300.00	600.00
