ColName	Category	Subcategory	StudyYear	Scale	ShortName	Units	AbbrFN	Description
PctUrbMd2006Cat	Disturbance	Developed	2006	Catchment	Medium	%	DevelopLULC	"% of catchment area classified as developed, medium-intensity land use (NLCD 2006 class 23)"
PctUrbMd2006CatRp100	Disturbance	Developed	2006	Catchment Riparian	Medium	%	DevelopLULC	"% of catchment area classified as developed, medium-intensity land use (NLCD 2006 class 23) within a 100-m buffer of NHD streams"
PctUrbMd2006Ws	Disturbance	Developed	2006	Watershed	Medium	%	DevelopLULC	"% of watershed area classified as developed, medium-intensity land use (NLCD 2006 class 23)"
PctUrbMd2006WsRp100	Disturbance	Developed	2006	Watershed Riparian	Medium	%	DevelopLULC	"% of watershed area classified as developed, medium-intensity land use (NLCD 2006 class 23) within a 100-m buffer of NHD streams"
PctUrbMd2011Cat	Disturbance	Developed	2011	Catchment	Medium	%	DevelopLULC	"% of catchment area classified as developed, medium-intensity land use (NLCD 2011 class 23)"
PctUrbMd2011CatRp100	Disturbance	Developed	2011	Catchment Riparian	Medium	%	DevelopLULC	"% of catchment area classified as developed, medium-intensity land use (NLCD 2011 class 23) within a 100-m buffer of NHD streams"
PctUrbMd2011Ws	Disturbance	Developed	2011	Watershed	Medium	%	DevelopLULC	"% of watershed area classified as developed, medium-intensity land use (NLCD 2011 class 23)"
PctUrbMd2011WsRp100	Disturbance	Developed	2011	Watershed Riparian	Medium	%	DevelopLULC	"% of watershed area classified as developed, medium-intensity land use (NLCD 2011 class 23) within a 100-m buffer of NHD streams"
PctUrbOp2001Cat	Disturbance	Developed	2001	Catchment	Open space	%	DevelopLULC	"% of catchment area classified as developed, open space land use (NLCD 2001 class 21)"
PctUrbOp2001CatRp100	Disturbance	Developed	2001	Catchment Riparian	Open space	%	DevelopLULC	"% of catchment area classified as developed, open space land use (NLCD 2001 class 21) within a 100-m buffer of NHD streams"
PctUrbOp2001Ws	Disturbance	Developed	2001	Watershed	Open space	%	DevelopLULC	"% of watershed area classified as developed, open space land use (NLCD 2001 class 21)"
PctUrbOp2001WsRp100	Disturbance	Developed	2001	Watershed Riparian	Open space	%	DevelopLULC	"% of watershed area classified as developed, open space land use (NLCD 2001 class 21) within a 100-m buffer of NHD streams"
PctUrbOp2006Cat	Disturbance	Developed	2006	Catchment	Open space	%	DevelopLULC	"% of catchment area classified as developed, open space land use (NLCD 2006 class 21)"
PctUrbOp2006CatRp100	Disturbance	Developed	2006	Catchment Riparian	Open space	%	DevelopLULC	"% of catchment area classified as developed, open space land use (NLCD 2006 class 21) within a 100-m buffer of NHD streams"
PctUrbOp2006Ws	Disturbance	Developed	2006	Watershed	Open space	%	DevelopLULC	"% of watershed area classified as developed, open space land use (NLCD 2006 class 21)"
PctUrbOp2006WsRp100	Disturbance	Developed	2006	Watershed Riparian	Open space	%	DevelopLULC	"% of watershed area classified as developed, open space land use (NLCD 2006 class 21) within a 100-m buffer of NHD streams"
PctUrbOp2011Cat	Disturbance	Developed	2011	Catchment	Open space	%	DevelopLULC	"% of catchment area classified as developed, open space land use (NLCD 2011 class 21)"
PctUrbOp2011CatRp100	Disturbance	Developed	2011	Catchment Riparian	Open space	%	DevelopLULC	"% of catchment area classified as developed, open space land use (NLCD 2011 class 21) within a 100-m buffer of NHD streams"
PctUrbOp2011Ws	Disturbance	Developed	2011	Watershed	Open space	%	DevelopLULC	"% of watershed area classified as developed, open space land use (NLCD 2011 class 21)"
PctUrbOp2011WsRp100	Disturbance	Developed	2011	Watershed Riparian	Open space	%	DevelopLULC	"% of watershed area classified as developed, open space land use (NLCD 2011 class 21) within a 100-m buffer of NHD streams"
PctFire2000Cat	Disturbance	Fire loss	2000	Catchment	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2000 within catchment
PctFire2000CatRp100	Disturbance	Fire loss	2000	Catchment Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2000 within catchment and within 100-m buffer of NHD stream lines
PctFire2000Ws	Disturbance	Fire loss	2000	Watershed	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2000 within watershed
PctFire2000WsRp100	Disturbance	Fire loss	2000	Watershed Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2000 within watershed and within 100-m buffer of NHD stream lines
PctFire2001Cat	Disturbance	Fire loss	2001	Catchment	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2001 within catchment
PctFire2001CatRp100	Disturbance	Fire loss	2001	Catchment Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2001 within catchment and within 100-m buffer of NHD stream lines
PctFire2001Ws	Disturbance	Fire loss	2001	Watershed	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2001 within watershed
PctFire2001WsRp100	Disturbance	Fire loss	2001	Watershed Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2001 within watershed and within 100-m buffer of NHD stream lines
PctFire2002Cat	Disturbance	Fire loss	2002	Catchment	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2002 within catchment
PctFire2002CatRp100	Disturbance	Fire loss	2002	Catchment Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2002 within catchment and within 100-m buffer of NHD stream lines
PctFire2002Ws	Disturbance	Fire loss	2002	Watershed	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2002 within watershed
PctFire2002WsRp100	Disturbance	Fire loss	2002	Watershed Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2002 within watershed and within 100-m buffer of NHD stream lines
PctFire2003Cat	Disturbance	Fire loss	2003	Catchment	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2003 within catchment
PctFire2003CatRp100	Disturbance	Fire loss	2003	Catchment Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2003 within catchment and within 100-m buffer of NHD stream lines
PctFire2003Ws	Disturbance	Fire loss	2003	Watershed	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2003 within watershed
PctFire2003WsRp100	Disturbance	Fire loss	2003	Watershed Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2003 within watershed and within 100-m buffer of NHD stream lines
PctFire2004Cat	Disturbance	Fire loss	2004	Catchment	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2004 within catchment
PctFire2004CatRp100	Disturbance	Fire loss	2004	Catchment Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2004 within catchment and within 100-m buffer of NHD stream lines
PctFire2004Ws	Disturbance	Fire loss	2004	Watershed	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2004 within watershed
PctFire2004WsRp100	Disturbance	Fire loss	2004	Watershed Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2004 within watershed and within 100-m buffer of NHD stream lines
PctFire2005Cat	Disturbance	Fire loss	2005	Catchment	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2005 within catchment
PctFire2005CatRp100	Disturbance	Fire loss	2005	Catchment Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2005 within catchment and within 100-m buffer of NHD stream lines
PctFire2005Ws	Disturbance	Fire loss	2005	Watershed	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2005 within watershed
PctFire2005WsRp100	Disturbance	Fire loss	2005	Watershed Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2005 within watershed and within 100-m buffer of NHD stream lines
PctFire2006Cat	Disturbance	Fire loss	2006	Catchment	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2006 within catchment
PctFire2006CatRp100	Disturbance	Fire loss	2006	Catchment Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2006 within catchment and within 100-m buffer of NHD stream lines
PctFire2006Ws	Disturbance	Fire loss	2006	Watershed	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2006 within watershed
PctFire2006WsRp100	Disturbance	Fire loss	2006	Watershed Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2006 within watershed and within 100-m buffer of NHD stream lines
PctFire2007Cat	Disturbance	Fire loss	2007	Catchment	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2007 within catchment
PctFire2007CatRp100	Disturbance	Fire loss	2007	Catchment Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2007 within catchment and within 100-m buffer of NHD stream lines
PctFire2007Ws	Disturbance	Fire loss	2007	Watershed	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2007 within watershed
PctFire2007WsRp100	Disturbance	Fire loss	2007	Watershed Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2007 within watershed and within 100-m buffer of NHD stream lines
PctFire2008Cat	Disturbance	Fire loss	2008	Catchment	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2008 within catchment
PctFire2008CatRp100	Disturbance	Fire loss	2008	Catchment Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2008 within catchment and within 100-m buffer of NHD stream lines
PctFire2008Ws	Disturbance	Fire loss	2008	Watershed	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2008 within watershed
PctFire2008WsRp100	Disturbance	Fire loss	2008	Watershed Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2008 within watershed and within 100-m buffer of NHD stream lines
PctFire2009Cat	Disturbance	Fire loss	2009	Catchment	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2009 within catchment
PctFire2009CatRp100	Disturbance	Fire loss	2009	Catchment Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2009 within catchment and within 100-m buffer of NHD stream lines
PctFire2009Ws	Disturbance	Fire loss	2009	Watershed	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2009 within watershed
PctFire2009WsRp100	Disturbance	Fire loss	2009	Watershed Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2009 within watershed and within 100-m buffer of NHD stream lines
PctFire2010Cat	Disturbance	Fire loss	2010	Catchment	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2010 within catchment
PctFire2010CatRp100	Disturbance	Fire loss	2010	Catchment Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2010 within catchment and within 100-m buffer of NHD stream lines
PctFire2010Ws	Disturbance	Fire loss	2010	Watershed	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2010 within watershed
PctFire2010WsRp100	Disturbance	Fire loss	2010	Watershed Riparian	Forest	%	FireLoss	% Forest loss to fire (fire perimeter) for 2010 within watershed and within 100-m buffer of NHD stream lines
PctFrstLoss2001Cat	Disturbance	Forest loss	2001	Catchment	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2001 within catchment
PctFrstLoss2001CatRp100	Disturbance	Forest loss	2001	Catchment Riparian	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2001 within catchment and within 100-m buffer of NHD stream lines
PctFrstLoss2001Ws	Disturbance	Forest loss	2001	Watershed	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2001 within watershed
PctFrstLoss2001WsRp100	Disturbance	Forest loss	2001	Watershed Riparian	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2001 within watershed and within 100-m buffer of NHD stream lines
PctFrstLoss2002Cat	Disturbance	Forest loss	2002	Catchment	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2002 within catchment
PctFrstLoss2002CatRp100	Disturbance	Forest loss	2002	Catchment Riparian	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2002 within catchment and within 100-m buffer of NHD stream lines
PctFrstLoss2002Ws	Disturbance	Forest loss	2002	Watershed	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2002 within watershed
PctFrstLoss2002WsRp100	Disturbance	Forest loss	2002	Watershed Riparian	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2002 within watershed and within 100-m buffer of NHD stream lines
PctFrstLoss2003Cat	Disturbance	Forest loss	2003	Catchment	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2003 within catchment
PctFrstLoss2003CatRp100	Disturbance	Forest loss	2003	Catchment Riparian	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2003 within catchment and within 100-m buffer of NHD stream lines
PctFrstLoss2003Ws	Disturbance	Forest loss	2003	Watershed	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2003 within watershed
PctFrstLoss2003WsRp100	Disturbance	Forest loss	2003	Watershed Riparian	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2003 within watershed and within 100-m buffer of NHD stream lines
PctFrstLoss2004Cat	Disturbance	Forest loss	2004	Catchment	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2004 within catchment
PctFrstLoss2004CatRp100	Disturbance	Forest loss	2004	Catchment Riparian	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2004 within catchment and within 100-m buffer of NHD stream lines
PctFrstLoss2004Ws	Disturbance	Forest loss	2004	Watershed	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2004 within watershed
PctFrstLoss2004WsRp100	Disturbance	Forest loss	2004	Watershed Riparian	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2004 within watershed and within 100-m buffer of NHD stream lines
PctFrstLoss2005Cat	Disturbance	Forest loss	2005	Catchment	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2005 within catchment
PctFrstLoss2005CatRp100	Disturbance	Forest loss	2005	Catchment Riparian	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2005 within catchment and within 100-m buffer of NHD stream lines
PctFrstLoss2005Ws	Disturbance	Forest loss	2005	Watershed	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2005 within watershed
PctFrstLoss2005WsRp100	Disturbance	Forest loss	2005	Watershed Riparian	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2005 within watershed and within 100-m buffer of NHD stream lines
PctFrstLoss2006Cat	Disturbance	Forest loss	2006	Catchment	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2006 within catchment
PctFrstLoss2006CatRp100	Disturbance	Forest loss	2006	Catchment Riparian	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2006 within catchment and within 100-m buffer of NHD stream lines
PctFrstLoss2006Ws	Disturbance	Forest loss	2006	Watershed	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2006 within watershed
PctFrstLoss2006WsRp100	Disturbance	Forest loss	2006	Watershed Riparian	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2006 within watershed and within 100-m buffer of NHD stream lines
PctFrstLoss2007Cat	Disturbance	Forest loss	2007	Catchment	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2007 within catchment
PctFrstLoss2007CatRp100	Disturbance	Forest loss	2007	Catchment Riparian	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2007 within catchment and within 100-m buffer of NHD stream lines
PctFrstLoss2007Ws	Disturbance	Forest loss	2007	Watershed	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2007 within watershed
PctFrstLoss2007WsRp100	Disturbance	Forest loss	2007	Watershed Riparian	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2007 within watershed and within 100-m buffer of NHD stream lines
PctFrstLoss2008Cat	Disturbance	Forest loss	2008	Catchment	Forest	%	ForestLoss	% Forest cover loss (Tree canopy cover change) for 2008 within catchment
