StationID_Master	COMID	clust	SampDate	SampYear	ChemSampleID	PhabSampID	FldChemSampID	FlowSampID	BMISampID	AlgSampID	EpiphyteSampID	IntegAlgSampID	MacroalgSampID	MicroalgSampID
402M00005	17585758	2	6/11/2015	2015	NA	402M00005_2015-06-11	402M00005_2015-06-11	NA	402M00005_6/11/2015_BMI_RWB_1	402M00005_6/11/2015_1	NA	402M00005_6/11/2015_1	402M00005_6/11/2015_1	402M00005_6/11/2015_1
402M00009	17586774	2	6/29/2015	2015	NA	402M00009_2015-06-29	402M00009_2015-06-29	NA	402M00009_6/29/2015_BMI_RWB_1	402M00009_6/29/2015_1	NA	402M00009_6/29/2015_1	NA	NA
402MJCMHS	17585808	2	4/22/2014	2014	NA	NA	NA	NA	402MJCMHS_4/22/2014_BMI_RWB_1	NA	NA	NA	NA	NA
402MTCUNF	17585756	2	6/5/2012	2012	402MTCUNF_2012-06-05	402MTCUNF_2012-06-05	NA	NA	402MTCUNF_6/5/2012_BMI_RWB_1	402MTCUNF_6/5/2012_1	402MTCUNF_6/5/2012_1	402MTCUNF_6/5/2012_1	402MTCUNF_6/5/2012_1	402MTCUNF_6/5/2012_1
402PS0048	17585714	2	5/21/2008	2008	402PS0048_2008-05-21	402PS0048_2008-05-21	NA	NA	402PS0048_5/21/2008_BMI_RWB_1	402PS0048_5/21/2008_1	NA	402PS0048_5/21/2008_1	NA	402PS0048_5/21/2008_1
402SNPMCR	17585800	5	5/28/2014	2014	NA	NA	NA	NA	402SNPMCR_5/28/2014_BMI_RWB_1	402SNPMCR_5/28/2014_1	402SNPMCR_5/28/2014_1	402SNPMCR_5/28/2014_1	402SNPMCR_5/28/2014_1	402SNPMCR_5/28/2014_1
402SNPMCR	17585800	5	6/18/2014	2014	NA	NA	NA	NA	402SNPMCR_6/18/2014_BMI_RWB_1	402SNPMCR_6/18/2014_1	402SNPMCR_6/18/2014_1	402SNPMCR_6/18/2014_1	402SNPMCR_6/18/2014_1	402SNPMCR_6/18/2014_1
402SNPMCR	17585800	5	7/8/2014	2014	NA	NA	NA	NA	402SNPMCR_7/8/2014_BMI_RWB_1	402SNPMCR_7/8/2014_1	402SNPMCR_7/8/2014_1	402SNPMCR_7/8/2014_1	402SNPMCR_7/8/2014_1	402SNPMCR_7/8/2014_1
402SNPMCR	17585800	5	7/29/2014	2014	NA	NA	NA	NA	402SNPMCR_7/29/2014_BMI_RWB_1	402SNPMCR_7/29/2014_1	402SNPMCR_7/29/2014_1	402SNPMCR_7/29/2014_1	402SNPMCR_7/29/2014_1	402SNPMCR_7/29/2014_1
402WE0536	17585714	2	6/14/2000	2000	402WE0536_2000-06-14	402WE0536_2000-06-14	NA	402WE0536_modeledflow	402WE0536_6/14/2000_BMI_RWB_1	NA	NA	NA	NA	NA
402WE0536	17585714	2	6/14/2000	2000	402WE0536_2000-06-14	402WE0536_2000-06-14	NA	402WE0536_modeledflow	402WE0536_6/14/2000_BMI_CSBP_Trans_1	NA	NA	NA	NA	NA
402WE0536	17585714	2	6/14/2000	2000	402WE0536_2000-06-14	402WE0536_2000-06-14	NA	402WE0536_modeledflow	402WE0536_6/14/2000_BMI_TRC_1	NA	NA	NA	NA	NA
402WE0803	17586740	2	6/12/2001	2001	402WE0803_2001-06-12	402WE0803_2001-06-12	NA	402WE0803_modeledflow	402WE0803_6/12/2001_BMI_CSBP_Trans_1	NA	NA	NA	NA	NA
402WE0803	17586740	2	6/12/2001	2001	402WE0803_2001-06-12	402WE0803_2001-06-12	NA	402WE0803_modeledflow	402WE0803_6/12/2001_BMI_TRC_1	NA	NA	NA	NA	NA
402WE0803	17586740	2	6/12/2001	2001	402WE0803_2001-06-12	402WE0803_2001-06-12	NA	402WE0803_modeledflow	402WE0803_6/12/2001_BMI_RWB_1	NA	NA	NA	NA	NA
402WER001	17585796	2	6/4/2003	2003	NA	402WER001_2003-06-04	NA	NA	402WER001_6/4/2003_BMI_TRC_1	NA	NA	NA	NA	NA
402WER001	17585796	2	6/4/2003	2003	NA	402WER001_2003-06-04	NA	NA	402WER001_6/4/2003_BMI_RWB_1	NA	NA	NA	NA	NA
403BA0027	17567373	6	5/20/2008	2008	403BA0027_2008-05-20	403BA0027_2008-05-20	NA	403BA0027_modeledflow	403BA0027_5/20/2008_BMI_RWB_1	403BA0027_5/20/2008_1	403BA0027_5/20/2008_1	403BA0027_5/20/2008_1	403BA0027_5/20/2008_1	403BA0027_5/20/2008_1
403BA0027	17567373	6	6/18/2014	2014	403BA0027_2014-06-18	NA	NA	403BA0027_modeledflow	403BA0027_6/18/2014_BMI_RWB_MCM_1	403BA0027_6/18/2014_1	403BA0027_6/18/2014_1	403BA0027_6/18/2014_1	403BA0027_6/18/2014_1	403BA0027_6/18/2014_1
403BA0027	17567373	6	7/13/2015	2015	NA	NA	403BA0027_2015-07-13	403BA0027_modeledflow	NA	NA	NA	NA	NA	NA
403BA0027	17567373	6	6/28/2016	2016	NA	NA	403BA0027_2016-06-28	403BA0027_modeledflow	NA	NA	NA	NA	NA	NA
403BA0027	17567373	6	6/13/2017	2017	NA	NA	403BA0027_2017-06-13	403BA0027_modeledflow	NA	NA	NA	NA	NA	NA
403BA0047	17573691	5	5/15/2008	2008	403BA0047_2008-05-15	403BA0047_2008-05-15	NA	NA	403BA0047_5/15/2008_BMI_RWB_1	403BA0047_5/15/2008_1	403BA0047_5/15/2008_1	403BA0047_5/15/2008_1	403BA0047_5/15/2008_1	403BA0047_5/15/2008_1
403BA0068	17574729	2	5/14/2008	2008	403BA0068_2008-05-14	403BA0068_2008-05-14	NA	403BA0068_modeledflow	403BA0068_5/14/2008_BMI_RWB_1	403BA0068_5/14/2008_1	403BA0068_5/14/2008_1	403BA0068_5/14/2008_1	403BA0068_5/14/2008_1	403BA0068_5/14/2008_1
403BA0136	17570387	4	5/13/2008	2008	403BA0136_2008-05-13	403BA0136_2008-05-13	NA	403BA0136_modeledflow	403BA0136_5/13/2008_BMI_RWB_1	403BA0136_5/13/2008_1	NA	403BA0136_5/13/2008_1	NA	403BA0136_5/13/2008_1
403BA0136	17570387	4	6/17/2014	2014	403BA0136_2014-06-17	NA	NA	403BA0136_modeledflow	403BA0136_6/17/2014_BMI_RWB_1	403BA0136_6/17/2014_1	403BA0136_6/17/2014_1	403BA0136_6/17/2014_1	403BA0136_6/17/2014_1	403BA0136_6/17/2014_1
403BA0136	17570387	4	6/9/2015	2015	NA	NA	NA	NA	403BA0136_6/9/2015_BMI_RWB_1	NA	NA	NA	NA	NA
403BA0136	17570387	4	5/25/2016	2016	NA	NA	NA	NA	403BA0136_5/25/2016_BMI_RWB_1	NA	NA	NA	NA	NA
403BA0136	17570387	4	5/25/2016	2016	NA	NA	NA	NA	403BA0136_5/25/2016_BMI_RWB_2	NA	NA	NA	NA	NA
403BA0191	17573663	5	5/14/2008	2008	403BA0191_2008-05-14	403BA0191_2008-05-14	NA	NA	403BA0191_5/14/2008_BMI_RWB_1	403BA0191_5/14/2008_1	403BA0191_5/14/2008_1	403BA0191_5/14/2008_1	403BA0191_5/14/2008_1	403BA0191_5/14/2008_1
403BA0191	17573663	5	7/12/2010	2010	NA	NA	403BA0191_2010-07-12	NA	NA	NA	NA	NA	NA	NA
403CE0156	17572917	5	5/18/2005	2005	NA	403CE0156_2005-05-18	NA	NA	403CE0156_5/18/2005_BMI_RWB_1	NA	NA	NA	NA	NA
403CE0156	17572917	5	5/18/2005	2005	NA	403CE0156_2005-05-18	NA	NA	403CE0156_5/18/2005_BMI_TRC_1	NA	NA	NA	NA	NA
403CE0156	17572917	5	6/11/2015	2015	NA	NA	NA	NA	403CE0156_6/11/2015_BMI_RWB_1	NA	NA	NA	NA	NA
403CE0156	17572917	5	5/24/2016	2016	NA	NA	NA	NA	403CE0156_5/24/2016_BMI_RWB_1	NA	NA	NA	NA	NA
403CE0188	17573663	5	5/17/2005	2005	NA	403CE0188_2005-05-17	NA	403CE0188_modeledflow	403CE0188_5/17/2005_BMI_TRC_1	NA	NA	NA	NA	NA
403CE0188	17573663	5	5/17/2005	2005	NA	403CE0188_2005-05-17	NA	403CE0188_modeledflow	403CE0188_5/17/2005_BMI_RWB_1	NA	NA	NA	NA	NA
403CE0188	17573663	5	6/10/2015	2015	NA	NA	NA	NA	403CE0188_6/10/2015_BMI_RWB_1	NA	NA	NA	NA	NA
403CE0188	17573663	5	5/26/2016	2016	NA	NA	NA	NA	403CE0188_5/26/2016_BMI_RWB_1	NA	NA	NA	NA	NA
403FCA022	17573659	2	5/27/2009	2009	NA	NA	NA	NA	403FCA022_5/27/2009_BMI_RWB_MCM_1	NA	NA	NA	NA	NA
403FCA022	17573659	2	5/27/2009	2009	NA	NA	NA	NA	403FCA022_5/27/2009_BMI_RWB_1	NA	NA	NA	NA	NA
403FCA022	17573659	2	5/29/2013	2013	403FCA022_2013-05-29	NA	NA	NA	403FCA022_5/29/2013_BMI_RWB_1	403FCA022_5/29/2013_1	NA	403FCA022_5/29/2013_1	NA	403FCA022_5/29/2013_1
403LNCASC	17568111	2	6/15/2010	2010	403LNCASC_2010-06-15	403LNCASC_2010-06-15	NA	NA	403LNCASC_6/15/2010_BMI_RWB_1	403LNCASC_6/15/2010_1	403LNCASC_6/15/2010_1	403LNCASC_6/15/2010_1	403LNCASC_6/15/2010_1	403LNCASC_6/15/2010_1
403M01505	17574589	5	6/29/2015	2015	NA	403M01505_2015-06-29	403M01505_2015-06-29	NA	403M01505_6/29/2015_BMI_RWB_MCM_1	403M01505_6/29/2015_1	NA	403M01505_6/29/2015_1	NA	NA
403M01506	17575737	5	6/17/2015	2015	NA	403M01506_2015-06-17	403M01506_2015-06-17	NA	403M01506_6/17/2015_BMI_RWB_MCM_1	403M01506_6/17/2015_1	NA	403M01506_6/17/2015_1	NA	NA
403M05757	17570253	4	6/29/2015	2015	NA	403M05757_2015-06-29	403M05757_2015-06-29	NA	403M05757_6/29/2015_BMI_RWB_2	403M05757_6/29/2015_1	NA	403M05757_6/29/2015_1	NA	NA
403M05757	17570253	4	6/29/2015	2015	NA	403M05757_2015-06-29	403M05757_2015-06-29	NA	403M05757_6/29/2015_BMI_RWB_1	403M05757_6/29/2015_1	NA	403M05757_6/29/2015_1	NA	NA
403M05758	17574585	5	6/29/2015	2015	NA	403M05758_2015-06-29	403M05758_2015-06-29	NA	403M05758_6/29/2015_BMI_RWB_1	403M05758_6/29/2015_1	NA	403M05758_6/29/2015_1	NA	NA
403M05771	17572225	4	4/30/2015	2015	NA	403M05771_2015-04-30	403M05771_2015-04-30	NA	403M05771_4/30/2015_BMI_RWB_1	403M05771_4/30/2015_1	NA	403M05771_4/30/2015_1	NA	NA
403PRCAFF	17572259	5	4/21/2014	2014	NA	NA	NA	NA	403PRCAFF_4/21/2014_BMI_RWB_1	NA	NA	NA	NA	NA
403PRCAGH	17569207	5	6/2/2011	2011	403PRCAGH_2011-06-02	403PRCAGH_2011-06-02	NA	NA	403PRCAGH_6/2/2011_BMI_RWB_1	403PRCAGH_6/2/2011_1	NA	403PRCAGH_6/2/2011_1	403PRCAGH_6/2/2011_1	403PRCAGH_6/2/2011_1
403PRCSFD	17575859	5	4/21/2014	2014	NA	NA	NA	NA	403PRCSFD_4/21/2014_BMI_RWB_1	NA	NA	NA	NA	NA
403R4S117	17572289	4	4/28/2015	2015	NA	NA	NA	NA	403R4S117_4/28/2015_BMI_RWB_1	NA	NA	NA	NA	NA
403R4S117	17572289	4	5/3/2016	2016	NA	NA	NA	NA	403R4S117_5/3/2016_BMI_RWB_1	NA	NA	NA	NA	NA
403R4S193	17574677	5	4/29/2015	2015	NA	NA	NA	NA	403R4S193_4/29/2015_BMI_RWB_1	NA	NA	NA	NA	NA
403R4S193	17574677	5	4/29/2015	2015	NA	NA	NA	NA	403R4S193_4/29/2015_BMI_RWB_2	NA	NA	NA	NA	NA
403R4S193	17574677	5	5/24/2016	2016	NA	NA	NA	NA	403R4S193_5/24/2016_BMI_RWB_1	NA	NA	NA	NA	NA
403R4S193	17574677	5	5/24/2016	2016	NA	NA	NA	NA	403R4S193_5/24/2016_BMI_RWB_2	NA	NA	NA	NA	NA
403R4S211	17569947	4	4/28/2015	2015	NA	NA	NA	NA	403R4S211_4/28/2015_BMI_RWB_1	NA	NA	NA	NA	NA
403R4S211	17569947	4	5/3/2016	2016	NA	NA	NA	NA	403R4S211_5/3/2016_BMI_RWB_1	NA	NA	NA	NA	NA
403S00064	17572253	6	6/2/2010	2010	403S00064_2010-06-02	403S00064_2010-06-02	NA	NA	403S00064_6/2/2010_BMI_RWB_1	403S00064_6/2/2010_1	403S00064_6/2/2010_1	403S00064_6/2/2010_1	403S00064_6/2/2010_1	403S00064_6/2/2010_1
403S00640	17569783	4	6/11/2009	2009	403S00640_2009-06-11	403S00640_2009-06-11	403S00640_2009-06-11	403S00640_modeledflow	403S00640_6/11/2009_BMI_RWB_2	403S00640_6/11/2009_2	NA	403S00640_6/11/2009_2	NA	403S00640_6/11/2009_2
403S00640	17569783	4	6/11/2009	2009	403S00640_2009-06-11	403S00640_2009-06-11	403S00640_2009-06-11	403S00640_modeledflow	403S00640_6/11/2009_BMI_RWB_2	403S00640_6/11/2009_1	NA	403S00640_6/11/2009_1	NA	403S00640_6/11/2009_1
403S00640	17569783	4	6/11/2009	2009	403S00640_2009-06-11	403S00640_2009-06-11	403S00640_2009-06-11	403S00640_modeledflow	403S00640_6/11/2009_BMI_RWB_1	403S00640_6/11/2009_1	NA	403S00640_6/11/2009_1	NA	403S00640_6/11/2009_1
403S00640	17569783	4	6/11/2009	2009	403S00640_2009-06-11	403S00640_2009-06-11	403S00640_2009-06-11	403S00640_modeledflow	403S00640_6/11/2009_BMI_RWB_1	403S00640_6/11/2009_2	NA	403S00640_6/11/2009_2	NA	403S00640_6/11/2009_2
403S00772	17574807	4	5/20/2009	2009	403S00772_2009-05-20	403S00772_2009-05-20	403S00772_2009-05-20	NA	403S00772_5/20/2009_BMI_RWB_1	403S00772_5/20/2009_1	403S00772_5/20/2009_1	403S00772_5/20/2009_1	403S00772_5/20/2009_1	403S00772_5/20/2009_1
403S00831	17574531	2	6/10/2010	2010	403S00831_2010-06-10	403S00831_2010-06-10	NA	403S00831_modeledflow	403S00831_6/10/2010_BMI_RWB_1	403S00831_6/10/2010_1	403S00831_6/10/2010_1	403S00831_6/10/2010_1	403S00831_6/10/2010_1	403S00831_6/10/2010_1
403S00875	17567963	2	6/24/2010	2010	403S00875_2010-06-24	403S00875_2010-06-24	NA	403S00875_modeledflow	403S00875_6/24/2010_BMI_RWB_1	403S00875_6/24/2010_1	NA	403S00875_6/24/2010_1	403S00875_6/24/2010_1	403S00875_6/24/2010_1
403S00960	17569839	4	6/2/2010	2010	403S00960_2010-06-02	403S00960_2010-06-02	NA	NA	403S00960_6/2/2010_BMI_RWB_1	403S00960_6/2/2010_1	NA	403S00960_6/2/2010_1	403S00960_6/2/2010_1	403S00960_6/2/2010_1
403S01136	17572259	5	6/13/2011	2011	403S01136_2011-06-13	403S01136_2011-06-13	NA	NA	403S01136_6/13/2011_BMI_RWB_1	403S01136_6/13/2011_1	403S01136_6/13/2011_1	403S01136_6/13/2011_1	403S01136_6/13/2011_1	403S01136_6/13/2011_1
403S01163	17569197	5	6/8/2009	2009	403S01163_2009-06-08	403S01163_2009-06-08	403S01163_2009-06-08	NA	403S01163_6/8/2009_BMI_RWB_1	403S01163_6/8/2009_1	403S01163_6/8/2009_1	403S01163_6/8/2009_1	403S01163_6/8/2009_1	403S01163_6/8/2009_1
403S01195	17567929	5	6/10/2009	2009	403S01195_2009-06-10	403S01195_2009-06-10	403S01195_2009-06-10	403S01195_modeledflow	403S01195_6/10/2009_BMI_RWB_1	403S01195_6/10/2009_1	NA	403S01195_6/10/2009_1	NA	403S01195_6/10/2009_1
403S01272	17574691	5	6/9/2009	2009	403S01272_2009-06-09	403S01272_2009-06-09	403S01272_2009-06-09	403S01272_modeledflow	403S01272_6/9/2009_BMI_RWB_MCM_1	403S01272_6/9/2009_1	403S01272_6/9/2009_1	403S01272_6/9/2009_1	403S01272_6/9/2009_1	403S01272_6/9/2009_1
403S01536	17569981	4	7/12/2011	2011	403S01536_2011-07-12	403S01536_2011-07-12	NA	403S01536_modeledflow	403S01536_7/12/2011_BMI_RWB_1	403S01536_7/12/2011_2	NA	403S01536_7/12/2011_2	403S01536_7/12/2011_2	403S01536_7/12/2011_2
403S01536	17569981	4	7/12/2011	2011	403S01536_2011-07-12	403S01536_2011-07-12	NA	403S01536_modeledflow	403S01536_7/12/2011_BMI_RWB_2	403S01536_7/12/2011_2	NA	403S01536_7/12/2011_2	403S01536_7/12/2011_2	403S01536_7/12/2011_2
403S01536	17569981	4	7/12/2011	2011	403S01536_2011-07-12	403S01536_2011-07-12	NA	403S01536_modeledflow	403S01536_7/12/2011_BMI_RWB_2	403S01536_7/12/2011_1	NA	403S01536_7/12/2011_1	NA	403S01536_7/12/2011_1
403S01536	17569981	4	7/12/2011	2011	403S01536_2011-07-12	403S01536_2011-07-12	NA	403S01536_modeledflow	403S01536_7/12/2011_BMI_RWB_1	403S01536_7/12/2011_1	NA	403S01536_7/12/2011_1	NA	403S01536_7/12/2011_1
403S01707	17568571	2	6/7/2010	2010	403S01707_2010-06-07	403S01707_2010-06-07	NA	403S01707_modeledflow	403S01707_6/7/2010_BMI_RWB_1	403S01707_6/7/2010_1	NA	403S01707_6/7/2010_1	403S01707_6/7/2010_1	403S01707_6/7/2010_1
403S01728	17569947	4	7/13/2011	2011	403S01728_2011-07-13	403S01728_2011-07-13	NA	403S01728_modeledflow	403S01728_7/13/2011_BMI_RWB_1	403S01728_7/13/2011_1	NA	403S01728_7/13/2011_1	403S01728_7/13/2011_1	403S01728_7/13/2011_1
403S01784	17575785	5	6/9/2009	2009	403S01784_2009-06-09	403S01784_2009-06-09	403S01784_2009-06-09	403S01784_modeledflow	403S01784_6/9/2009_BMI_RWB_MCM_1	403S01784_6/9/2009_1	403S01784_6/9/2009_1	403S01784_6/9/2009_1	403S01784_6/9/2009_1	403S01784_6/9/2009_1
403S01883	17567221	5	6/21/2010	2010	403S01883_2010-06-21	403S01883_2010-06-21	NA	403S01883_modeledflow	403S01883_6/21/2010_BMI_RWB_1	403S01883_6/21/2010_1	403S01883_6/21/2010_1	403S01883_6/21/2010_1	403S01883_6/21/2010_1	403S01883_6/21/2010_1
403S01883	17567221	5	6/29/2010	2010	403S01883_2010-06-29	NA	NA	403S01883_modeledflow	NA	NA	NA	NA	NA	NA
403S02363	17567953	5	6/16/2011	2011	403S02363_2011-06-16	403S02363_2011-06-16	NA	403S02363_modeledflow	403S02363_6/16/2011_BMI_RWB_1	403S02363_6/16/2011_1	403S02363_6/16/2011_1	403S02363_6/16/2011_1	403S02363_6/16/2011_1	403S02363_6/16/2011_1
403S02764	17574353	5	6/14/2011	2011	403S02764_2011-06-14	403S02764_2011-06-14	NA	403S02764_modeledflow	403S02764_6/14/2011_BMI_RWB_1	403S02764_6/14/2011_1	403S02764_6/14/2011_1	403S02764_6/14/2011_1	403S02764_6/14/2011_1	403S02764_6/14/2011_1
403S03320	17574773	2	6/8/2010	2010	403S03320_2010-06-08	NA	NA	NA	403S03320_6/8/2010_BMI_RWB_MCM_1	403S03320_6/8/2010_1	403S03320_6/8/2010_1	403S03320_6/8/2010_1	403S03320_6/8/2010_1	403S03320_6/8/2010_1
403S03643	17567991	5	6/24/2010	2010	403S03643_2010-06-24	403S03643_2010-06-24	NA	403S03643_modeledflow	403S03643_6/24/2010_BMI_RWB_2	403S03643_6/24/2010_2	403S03643_6/24/2010_2	403S03643_6/24/2010_2	403S03643_6/24/2010_2	403S03643_6/24/2010_2
403S03643	17567991	5	6/24/2010	2010	403S03643_2010-06-24	403S03643_2010-06-24	NA	403S03643_modeledflow	403S03643_6/24/2010_BMI_RWB_1	403S03643_6/24/2010_1	403S03643_6/24/2010_1	403S03643_6/24/2010_1	403S03643_6/24/2010_1	403S03643_6/24/2010_1
403S03643	17567991	5	6/24/2010	2010	403S03643_2010-06-24	403S03643_2010-06-24	NA	403S03643_modeledflow	403S03643_6/24/2010_BMI_RWB_2	403S03643_6/24/2010_1	403S03643_6/24/2010_1	403S03643_6/24/2010_1	403S03643_6/24/2010_1	403S03643_6/24/2010_1
403S03643	17567991	5	6/24/2010	2010	403S03643_2010-06-24	403S03643_2010-06-24	NA	403S03643_modeledflow	403S03643_6/24/2010_BMI_RWB_1	403S03643_6/24/2010_2	403S03643_6/24/2010_2	403S03643_6/24/2010_2	403S03643_6/24/2010_2	403S03643_6/24/2010_2
403S03832	17575867	5	6/8/2009	2009	403S03832_2009-06-08	403S03832_2009-06-08	403S03832_2009-06-08	403S03832_modeledflow	403S03832_6/8/2009_BMI_RWB_1	403S03832_6/8/2009_1	NA	403S03832_6/8/2009_1	NA	403S03832_6/8/2009_1
403S04600	17574717	5	6/8/2010	2010	403S04600_2010-06-08	403S04600_2010-06-08	NA	403S04600_modeledflow	403S04600_6/8/2010_BMI_RWB_MCM_1	403S04600_6/8/2010_1	403S04600_6/8/2010_1	403S04600_6/8/2010_1	403S04600_6/8/2010_1	403S04600_6/8/2010_1
403S04868	948070356	5	6/15/2011	2011	403S04868_2011-06-15	403S04868_2011-06-15	NA	NA	403S04868_6/15/2011_BMI_RWB_1	403S04868_6/15/2011_1	NA	403S04868_6/15/2011_1	403S04868_6/15/2011_1	403S04868_6/15/2011_1
403S05247	948070359	5	6/1/2010	2010	403S05247_2010-06-01	403S05247_2010-06-01	NA	NA	403S05247_6/1/2010_BMI_RWB_MCM_1	403S05247_6/1/2010_1	403S05247_6/1/2010_1	403S05247_6/1/2010_1	403S05247_6/1/2010_1	403S05247_6/1/2010_1
403S05291	17567911	5	6/7/2010	2010	403S05291_2010-06-07	403S05291_2010-06-07	NA	403S05291_modeledflow	403S05291_6/7/2010_BMI_RWB_1	403S05291_6/7/2010_1	403S05291_6/7/2010_1	403S05291_6/7/2010_1	403S05291_6/7/2010_1	403S05291_6/7/2010_1
403S06139	17568009	5	6/27/2012	2012	403S06139_2012-06-27	403S06139_2012-06-27	NA	403S06139_modeledflow	403S06139_6/27/2012_BMI_RWB_1	403S06139_6/27/2012_1	403S06139_6/27/2012_1	403S06139_6/27/2012_1	403S06139_6/27/2012_1	403S06139_6/27/2012_1
403S06283	17569203	5	6/13/2012	2012	403S06283_2012-06-13	403S06283_2012-06-13	NA	NA	403S06283_6/13/2012_BMI_RWB_1	403S06283_6/13/2012_1	403S06283_6/13/2012_1	403S06283_6/13/2012_1	403S06283_6/13/2012_1	403S06283_6/13/2012_1
403S06315	17567721	2	6/27/2012	2012	403S06315_2012-06-27	403S06315_2012-06-27	NA	403S06315_modeledflow	403S06315_6/27/2012_BMI_RWB_1	403S06315_6/27/2012_1	403S06315_6/27/2012_1	403S06315_6/27/2012_1	403S06315_6/27/2012_1	403S06315_6/27/2012_1
403S06660	17574519	5	6/14/2012	2012	403S06660_2012-06-14	403S06660_2012-06-14	NA	NA	403S06660_6/14/2012_BMI_RWB_2	403S06660_6/14/2012_2	403S06660_6/14/2012_2	403S06660_6/14/2012_2	403S06660_6/14/2012_2	403S06660_6/14/2012_2
403S06660	17574519	5	6/14/2012	2012	403S06660_2012-06-14	403S06660_2012-06-14	NA	NA	403S06660_6/14/2012_BMI_RWB_1	403S06660_6/14/2012_1	403S06660_6/14/2012_1	403S06660_6/14/2012_1	403S06660_6/14/2012_1	403S06660_6/14/2012_1
403S06660	17574519	5	6/14/2012	2012	403S06660_2012-06-14	403S06660_2012-06-14	NA	NA	403S06660_6/14/2012_BMI_RWB_2	403S06660_6/14/2012_1	403S06660_6/14/2012_1	403S06660_6/14/2012_1	403S06660_6/14/2012_1	403S06660_6/14/2012_1
403S06660	17574519	5	6/14/2012	2012	403S06660_2012-06-14	403S06660_2012-06-14	NA	NA	403S06660_6/14/2012_BMI_RWB_1	403S06660_6/14/2012_2	403S06660_6/14/2012_2	403S06660_6/14/2012_2	403S06660_6/14/2012_2	403S06660_6/14/2012_2
403S06904	17574677	5	6/9/2010	2010	403S06904_2010-06-09	403S06904_2010-06-09	NA	403S06904_modeledflow	403S06904_6/9/2010_BMI_RWB_1	403S06904_6/9/2010_1	403S06904_6/9/2010_1	403S06904_6/9/2010_1	403S06904_6/9/2010_1	403S06904_6/9/2010_1
403S07024	17569679	5	6/13/2012	2012	403S07024_2012-06-13	403S07024_2012-06-13	NA	403S07024_modeledflow	403S07024_6/13/2012_BMI_RWB_1	403S07024_6/13/2012_1	403S07024_6/13/2012_1	403S07024_6/13/2012_1	403S07024_6/13/2012_1	403S07024_6/13/2012_1
