StationID_Master	clust	StressSampleDate	RespSampleDate	ChemSampleID	BMISampID	Quality	CSCI	HighDur	HighNum	MaxMonthQ	NoDisturb	Q99	QmaxIDR	RBI	AFDM_algae_particulate_g_m2	Alkalinity_CaCO3_f_mg_L	Alkalinity_CaCO3_uf_mg_L	Aluminum_f_ug_L	Aluminum_tot_mg_kg_dw	Aluminum_uf_ug_L	ANC_ueq_L	Antimony_f_ug_L	Antimony_uf_ug_L	Arsenic_f_ug_L	Arsenic_tot_mg_kg_dw	Arsenic_uf_ug_L	Azinphos_Methyl_ug_L	Barium_f_ug_L	Barium_uf_ug_L	Benz_a_anthracene_ug_L	Benzo_a_pyrene_ug_L	Benzo_k_fluoranthene_ug_L	Bifenthrin_tot_ng_g_dw	Bifenthrin_ug_L	Boron_uf_mg_L	Bromodichloromethane_ug_L	Cadmium_f_ug_L	Cadmium_tot_mg_kg_dw	Cadmium_uf_ug_L	Caffeine_ug_L	Calcium_f_mg_L	Calcium_uf_mg_L	Carbophenothion_ug_L	Chlor_a_particulate_mg_m2	Chlor_a_particulate_ug_L	Chlordene_cis_ug_L	Chlordene_trans_ug_L	Chloride_f_mg_L	Chloroform_ug_L	Chlorpyrifos_ug_L	Chromium_f_ug_L	Chromium_tot_mg_kg_dw	Chromium_ug_L	Chrysene_ug_L	Clay_LT0_0039mm_pct	Clay_LT0_005mm_pct	Cobalt_f_ug_L	Cobalt_uf_ug_L	Copper_f_ug_L	Copper_tot_mg_kg_dw	Copper_uf_ug_L	Coumaphos_ug_L	Cyfluthrin_tot_ng_g_dw	Cyfluthrin_Total_ug_L	Cyhalothrin_lambda_tot_ng_g_dw	Cyhalothrin_Total_lambda_ug_L	Cypermethrin_tot_ng_g_dw	Cypermethrin_Total_ug_L	Dacthal_tot_ng_g_dw	Dacthal_ug_L	DDD_o_pprime_ug_L	DDD_p_pprime_ug_L	DDE_p_pprime_ug_L	DDT_p_pprime_tot_ng_g_dw	DDT_p_pprime_ug_L	Deltamethrin_Tralomethrin_ug_L	Deltamethrin_ug_L	DeltamethrinTralomethrine_tot_ng_g_dw	Demeton_s_ug_L	Diazinon_ug_L	Dibromochloromethane_ug_L	DIC_f_mg_L	Dichlofenthion_ug_L	Dicrotophos_ug_L	Dieldrin_ug_L	Dimethoate_ug_L	Dioxathion_ug_L	Disulfoton_ug_L	DOC_f_mg_L	E_coli_MPN_100mL	Endosulfan_II_ug_L	Endosulfan_Sulfate_ug_L	Endrin_Aldehyde_ug_L	Endrin_Ketone_ug_L	Enterococcus_MPN_100mL	Esfenvalerate_Fenvalerate_Total_ug_L	EsfenvalerateFenvalerate_tot_ng_g_dw	Ev_FlowHab_score	FecalColiform_MPN_100mL	Fenpropathrin_tot_ng_g_dw	Fenpropathrin_ug_L	Fenthion_ug_L	Fluoride_mg_L	Gravel_4_75_LT75mm_pct	H_AqHab_score	H_SubNat_score	Hardness_CaCO3_f_mg_L	Hardness_CaCO3_uf_mg_L	HCH_beta_ug_L	HCH_delta_ug_L	HCH_gamma_ug_L	Hexachlorobenzene_ug_L	IPI	Iron_f_ug_L	Iron_uf_ug_L	Lead_f_ug_L	Lead_tot_mg_kg_dw	Lead_uf_ug_L	Magnesium_f_mg_L	Magnesium_uf_mg_L	Malathion_ug_L	Manganese_f_ug_L	Manganese_tot_mg_kg_dw	Manganese_uf_ug_L	Mercury_f_ng_L	Mercury_ng_L	Mercury_tot_mg_kg_dw	Methoxychlor_ug_L	Mevinphos_ug_L	Molybdenum_f_ug_L	Molybdenum_uf_ug_L	Naled_ug_L	NH3_N_f_mg_L	NH3_N_uf_mg_L	Nickel_f_ug_L	Nickel_tot_mg_kg_dw	Nickel_uf_ug_L	NO2_N_f_mg_L	NO2_N_mg_L	NO3_N_f_mg_L	NO3_N_mg_L	NO3_N_uf_mg_L	NO3NO2_N_f_mg_L	NO3NO2_N_mg_L	NO3NO2_N_uf_mg_L	Nonachlor_cis_ug_L	Nonachlor_trans_ng_g_dw	Nonachlor_trans_ug_L	Oxadiazon_ug_L	Oxychlordane_ug_L	P_uf_mg_L	Parathion_Ethyl_ug_L	Parathion_Methyl_ug_L	PCB008_ug_L	PCB015_ug_L	PCB018_ug_L	PCB027_ug_L	PCB029_ug_L	PCB031_ug_L	PCB033_ug_L	PCB044_ug_L	PCB049_ug_L	PCB052_ng_g_dw	PCB052_ug_L	PCB056_ug_L	PCB060_ug_L	PCB066_ug_L	PCB095_ug_L	PCB097_ug_L	PCB099_ug_L	PCB101_ug_L	PCB105_ug_L	PCB110_ng_g_dw	PCB110_ug_L	PCB114_ug_L	PCB118_ng_g_dw	PCB118_ug_L	PCB128_ug_L	PCB137_ug_L	PCB138_ug_L	PCB141_ug_L	PCB149_ug_L	PCB151_ug_L	PCB153_ug_L	PCB156_ug_L	PCB157_ug_L	PCB158_ug_L	PCB170_ug_L	PCB183_ug_L	PCB187_ug_L	PCB189_ug_L	PCB194_ug_L	PCB195_ug_L	PCB200_ug_L	PCB201_ug_L	PCB203_ug_L	PCB206_ug_L	PCB209_ug_L	PCT_SAFN_score	Permethrin_cis_ng_g_dw	Permethrin_cis_ug_L	Permethrin_trans_ng_g_dw	Permethrin_trans_ug_L	pH_SU	Phenanthrene_ug_L	Pheophytin_a_particulate_ug_L	Phorate_ug_L	Phosphamidon_ug_L	PO4_P_f_mg_L	Potassium_f_mg_L	Potassium_uf_mg_L	Sand_0_0625_LT2mm_pct	SandCoarse_2_LT4_75mm_pct	SandFine_0_075_LT0_425mm_pct	SandMed_0_425_LT2mm_pct	Selenium_f_ug_L	Selenium_ug_L	Silica_SiO2_f_mg_L	Silica_SiO2_uf_mg_L	Silt_0_0039_LT0_0625mm_pct	Silt_0_005_LT0_075mm_pct	Silver_f_ug_L	Silver_tot_mg_kg_dw	Silver_uf_ug_L	Sodium_f_mg_L	Sodium_uf_mg_L	SpecificConductivity_uS_cm	Strontium_f_ug_L	Strontium_uf_ug_L	Sulfate_f_mg_L	SuspendedSediment_particulate_mg_L	TDS_f_mg_L	Tedion_ug_L	Terbufos_ug_L	Tetrachloroethylene_ug_L	Tetrachlorvinphos_ug_L	Thallium_f_ug_L	Thallium_uf_ug_L	Thiobencarb_ug_L	Tin_f_ug_L	Tin_uf_ug_L	Titanium_f_ug_L	Titanium_uf_ug_L	TKN_uf_mg_L	TN_mg_L	TN_uf_mg_L	TOC_pct_dw	TOC_uf_mg_L	Toluene_ug_L	TotalColiform_MPN_100mL	TotalMicrocystins_particulate_ug_L	TotalMicrocystins_particulate_ug_m2	Trichloronate_ug_L	Trimethylnaphthalene_235_ug_L	TSS_particulate_mg_L	Turbidity_NTU	Vanadium_f_ug_L	Vanadium_uf_ug_L	XCMG_score	Zinc_f_ug_L	Zinc_tot_mg_kg_dw	Zinc_uf_ug_L
404S33670	2	6/19/2012	6/19/2012	404S33670_2012-06-19	404S33670_6/19/2012_BMI_RWB_1	Degraded	0.479851988	NA	NA	NA	NA	NA	NA	NA	64.5	76.5	NA	1.13	NA	21.2	NA	NA	NA	4.72	NA	4.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.36	NA	NA	NA	NA	69.4	NA	NA	NA	238	NA	NA	NA	NA	0.23	NA	NA	NA	NA	NA	2.9	NA	3.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.69	NA	20.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04835	17.7	NA	21	0.0037	NA	NA	0.0296	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	34.2	34.5	17.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1580	19.7	3010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.8	NA	NA	NA	NA	NA	NA	NA	NA	13.6	NA	NA	NA	NA	1.39	NA	5.13
404S34120	2	6/21/2012	6/21/2012	404S34120_2012-06-21	404S34120_6/21/2012_BMI_RWB_1	Degraded	0.583959145	-7.5	21.5	0.045318864	-110.5	0.137128293	0.2214292	1.519593259	103	360	NA	NA	35589	30.8	NA	NA	NA	1.56	2.23	1.66	NA	NA	NA	NA	NA	NA	32.7	NA	NA	NA	NA	2.9	0.27	NA	NA	NA	NA	50.5	NA	NA	NA	241	NA	NA	NA	19.1	NA	NA	10.5	NA	NA	NA	0.6	9.33	1.04	NA	8.15	NA	1.96	NA	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.92	NA	NA	NA	NA	NA	NA	NA	0.505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1220	NA	NA	NA	NA	NA	NA	NA	NA	12.1	NA	NA	NA	NA	33.4	166	37.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0177	2.88	16.5	3.08	0.00525	NA	NA	0.239	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.15	NA	3.48	NA	NA	NA	NA	NA	NA	0.18	NA	NA	60.9	NA	NA	NA	6.65	6.7	33.1	NA	28.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	886	3.4	2210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.804	1.63	NA	NA	NA	NA	NA	NA	NA	3.1	NA	NA	NA	NA	1.69	44.1	2.37
404S34230	2	6/19/2013	6/19/2013	404S34230_2013-06-19	404S34230_6/19/2013_BMI_RWB_1	Good	0.823747151	NA	NA	NA	NA	NA	NA	NA	108	271	NA	NA	NA	25.3	NA	NA	NA	2.51	5.6	2.49	NA	NA	NA	NA	NA	NA	0.492	NA	NA	NA	0.02	1.77	0.02	NA	NA	NA	NA	30	NA	NA	NA	115	NA	NA	0.28	57.8	0.31	NA	11.5	NA	NA	NA	0.91	41.6	1.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.81	NA	NA	NA	NA	NA	NA	NA	NA	0.76	NA	NA	NA	NA	NA	NA	0.68	1	NA	513	NA	NA	NA	NA	1.08	NA	NA	NA	20.8	0.035	NA	NA	NA	13.8	379	26.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0073	4.91	47.6	4.73	NA	NA	NA	NA	0.0054	NA	NA	NA	NA	NA	NA	NA	NA	0.0383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0483	NA	NA	37.3	NA	NA	NA	NA	0.98	22.8	NA	51.4	NA	NA	2.45	NA	NA	NA	NA	NA	NA	314	35.2	795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.128	8.43	NA	NA	NA	NA	NA	NA	NA	8.6	NA	NA	NA	0.82	0.66	135	0.73
404S35270	2	6/20/2012	6/20/2012	404S35270_2012-06-20	404S35270_6/20/2012_BMI_RWB_1	Degraded	0.788037953	-4	6.5	0.093706572	-60	0.333529572	-0.185373	0.325675747	16.6	397	NA	1.07	34310	6.1	NA	NA	NA	2.37	6.76	2.3	NA	NA	NA	NA	NA	NA	27.2	NA	NA	NA	0.5	7.41	0.82	NA	NA	NA	NA	47.8	NA	NA	NA	209	NA	NA	NA	45.6	NA	NA	9.8	NA	NA	NA	1.23	39.8	1.49	NA	17.7	NA	1.4	NA	11.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.38	NA	NA	NA	NA	NA	NA	NA	1.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1830	NA	NA	NA	NA	NA	NA	NA	NA	18.3	NA	NA	NA	NA	47.1	638	51.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.78	53.5	9.41	0.0141	NA	NA	1.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	NA	19.3	NA	NA	NA	NA	NA	NA	0.292	NA	NA	41.8	NA	NA	NA	23.4	21.6	39.1	NA	48.5	NA	NA	0.11	NA	NA	NA	NA	NA	NA	1560	NA	3130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.91	3.78	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	3.74	127	3.4
404S35418	2	6/25/2012	6/25/2012	404S35418_2012-06-25	404S35418_6/25/2012_BMI_RWB_2	Good	0.84445435	NA	NA	NA	NA	NA	NA	NA	50.35	302.5	NA	1.88	45411	27.65	NA	NA	NA	2.91	3.17	3.025	NA	NA	NA	NA	NA	NA	0.7245	NA	NA	NA	0.2	1.385	0.27	NA	NA	NA	NA	90.75	NA	NA	NA	168.5	NA	NA	0.325	50.95	0.375	NA	7.233333333	NA	NA	NA	1.825	13.55	2.085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.46	NA	NA	NA	NA	NA	NA	NA	NA	0.45	NA	NA	NA	NA	NA	NA	0.88	0.91	NA	1095	NA	NA	NA	NA	1.12	NA	NA	NA	15.3	0.073	NA	NA	NA	45.1	247	52.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01905	8.785	30.05	8.585	0.00545	NA	NA	0.258	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.95	NA	NA	NA	0.003	NA	NA	NA	NA	NA	0.08845	NA	NA	69.53333333	NA	NA	NA	6.635	6.54	23.25	NA	23.36666667	NA	NA	0.15	0.14	NA	NA	NA	NA	NA	957	4.95	1945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7775	1.055	NA	NA	NA	NA	NA	NA	NA	2.1	NA	NA	NA	0.97	2.02	41	2.485
404S35418	2	6/25/2012	6/25/2012	404S35418_2012-06-25	404S35418_6/25/2012_BMI_RWB_1	Good	0.814871223	NA	NA	NA	NA	NA	NA	NA	50.35	302.5	NA	1.88	45411	27.65	NA	NA	NA	2.91	3.17	3.025	NA	NA	NA	NA	NA	NA	0.7245	NA	NA	NA	0.2	1.385	0.27	NA	NA	NA	NA	90.75	NA	NA	NA	168.5	NA	NA	0.325	50.95	0.375	NA	7.233333333	NA	NA	NA	1.825	13.55	2.085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.46	NA	NA	NA	NA	NA	NA	NA	NA	0.45	NA	NA	NA	NA	NA	NA	0.88	0.91	NA	1095	NA	NA	NA	NA	1.12	NA	NA	NA	15.3	0.073	NA	NA	NA	45.1	247	52.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01905	8.785	30.05	8.585	0.00545	NA	NA	0.258	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.95	NA	NA	NA	0.003	NA	NA	NA	NA	NA	0.08845	NA	NA	69.53333333	NA	NA	NA	6.635	6.54	23.25	NA	23.36666667	NA	NA	0.15	0.14	NA	NA	NA	NA	NA	957	4.95	1945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7775	1.055	NA	NA	NA	NA	NA	NA	NA	2.1	NA	NA	NA	0.97	2.02	41	2.485
404S37670	2	6/6/2013	6/6/2013	404S37670_2013-06-06	404S37670_6/6/2013_BMI_RWB_1	Degraded	0.506353481	NA	NA	NA	NA	NA	NA	NA	32.2	395	NA	NA	NA	10.9	NA	NA	NA	5.89	5.96	5.94	NA	NA	NA	NA	NA	NA	0.83	NA	NA	NA	0.35	1.71	0.6	NA	NA	NA	NA	63.8	NA	NA	NA	211	NA	NA	0.62	18.8	0.63	NA	11.45	NA	NA	NA	2.11	7.02	2.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1840	NA	NA	NA	NA	NA	NA	NA	NA	13.8	0.05	NA	NA	NA	404	1039	411	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0365	22.9	28.9	23	0.0271	NA	NA	NA	0.963	NA	NA	NA	NA	NA	NA	NA	NA	0.347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3585	NA	NA	52.35	NA	NA	NA	29.3	30.2	38.4	NA	35.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	1600	2.3	2990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.33	0.34	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	NA	NA	1.39	43.4	1.69
404S44210	2	6/20/2013	6/20/2013	404S44210_2013-06-20	404S44210_6/20/2013_BMI_RWB_1	Degraded	0.545731877	NA	NA	NA	NA	NA	NA	NA	53.8	309	NA	NA	NA	3.88	NA	NA	NA	4.96	1.77	4.95	NA	NA	NA	NA	NA	NA	5.69	NA	NA	NA	0.87	5.58	1.4	NA	NA	NA	NA	117	NA	NA	NA	387	NA	NA	0.57	9.27	0.6	NA	6.9	NA	NA	NA	2.96	10.1	3.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1340	NA	NA	NA	NA	NA	NA	NA	NA	5.8	0.028	NA	NA	NA	15.1	440	20.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0061	17.2	11	17.2	0.0027	NA	NA	NA	0.0134	NA	NA	NA	NA	NA	NA	NA	NA	0.0561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.045	NA	NA	60.2	NA	NA	NA	7.11	7.01	23.8	NA	32.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1301	3	2380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.457	7.43	NA	NA	NA	NA	NA	NA	NA	2.7	NA	NA	NA	NA	3.8	66.5	4.25
404S44532	4	6/4/2013	6/4/2013	404S44532_2013-06-04	404S44532_6/4/2013_BMI_RWB_1	Degraded	0.594547928	NA	NA	NA	NA	NA	NA	NA	17.4	246	NA	2.57	NA	15.25	NA	NA	NA	2.51	10.2	2.34	NA	NA	NA	NA	NA	NA	0.47	NA	NA	NA	0.01	0.89	0.02	NA	NA	NA	NA	22.1	NA	NA	NA	187	NA	NA	0.52	118	0.315	NA	12.2	NA	NA	NA	1.38	46.2	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	607	NA	NA	NA	NA	NA	NA	NA	0.025	13.3	0.0475	NA	NA	NA	177	9461	192	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0054	5.43	116	5.425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0996	NA	NA	37.3	NA	NA	NA	4.62	2.515	23.5	NA	49.6	NA	0.1	NA	0.04	NA	NA	NA	NA	NA	355	4.1	1050	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38	4.62	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	1.51	117	2.525
404S44642	2	6/4/2013	6/4/2013	404S44642_2013-06-04	404S44642_6/4/2013_BMI_RWB_1	Degraded	0.60628887	NA	NA	NA	NA	NA	NA	NA	86.5	579	NA	3.98	NA	NA	NA	NA	NA	8.04	NA	8.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1	NA	0.13	NA	NA	NA	NA	77.9	NA	NA	NA	231	NA	NA	0.5	NA	0.48	NA	NA	NA	NA	NA	3.28	NA	3.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.96	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0.21	0.01	NA	1780	NA	NA	NA	NA	0.05	NA	NA	0.023	NA	NA	NA	NA	NA	8.44	NA	121	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0034	17.6	NA	18.8	NA	NA	NA	NA	0.0587	NA	NA	NA	NA	NA	NA	NA	NA	0.253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	NA	NA	NA	NA	7.13	6.12	35.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1690	7.1	3090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.582	NA	NA	NA	NA	NA	NA	NA	NA	4.5	NA	NA	NA	0	NA	NA	0.53
404S45622	2	6/3/2013	6/3/2013	404S45622_2013-06-03	404S45622_6/3/2013_BMI_RWB_2	Degraded	0.768837759	0	4.5	0.009689176	-55.5	0.053943052	0.135931	0.109106194	67.75	288.5	NA	NA	NA	24.55	NA	NA	NA	1.85	5.52	2	NA	NA	NA	NA	NA	NA	0.28	NA	NA	NA	NA	0.62	NA	NA	NA	NA	NA	17	NA	NA	NA	124	NA	NA	0.245	19.4	0.28	NA	15.1	NA	NA	NA	1.135	16.8	1.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.725	NA	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	NA	NA	NA	NA	0.79	0.98	NA	561.5	NA	NA	NA	NA	1.11	NA	NA	NA	10.57	0.062	NA	NA	NA	16.9	467.5	28.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00785	3.79	18.9	3.83	NA	NA	NA	NA	0.0096	NA	NA	NA	NA	NA	NA	NA	NA	0.0351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	NA	0.002	NA	NA	NA	NA	NA	NA	NA	0.0617	NA	NA	30.5	NA	NA	NA	1.45	2.02	22.25	NA	54.2	NA	NA	0.4	0.19	NA	NA	NA	NA	NA	352	4.55	857.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.168	2.525	NA	NA	NA	NA	NA	NA	NA	3.55	NA	NA	NA	0.92	NA	65.15	NA
404S45622	2	6/3/2013	6/3/2013	404S45622_2013-06-03	404S45622_6/3/2013_BMI_RWB_1	Good	0.994819604	0	4.5	0.009689176	-55.5	0.053943052	0.135931	0.109106194	67.75	288.5	NA	NA	NA	24.55	NA	NA	NA	1.85	5.52	2	NA	NA	NA	NA	NA	NA	0.28	NA	NA	NA	NA	0.62	NA	NA	NA	NA	NA	17	NA	NA	NA	124	NA	NA	0.245	19.4	0.28	NA	15.1	NA	NA	NA	1.135	16.8	1.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.725	NA	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	NA	NA	NA	NA	0.79	0.98	NA	561.5	NA	NA	NA	NA	1.11	NA	NA	NA	10.57	0.062	NA	NA	NA	16.9	467.5	28.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00785	3.79	18.9	3.83	NA	NA	NA	NA	0.0096	NA	NA	NA	NA	NA	NA	NA	NA	0.0351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	NA	0.002	NA	NA	NA	NA	NA	NA	NA	0.0617	NA	NA	30.5	NA	NA	NA	1.45	2.02	22.25	NA	54.2	NA	NA	0.4	0.19	NA	NA	NA	NA	NA	352	4.55	857.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.168	2.525	NA	NA	NA	NA	NA	NA	NA	3.55	NA	NA	NA	0.92	NA	65.15	NA
