StationID_Master	CollDate	nChemSamp	nPhabSamp	nBMISamp	nBMIMetSamp	nAlgMetSamp	nDiatomSamp	nSoftAlgSamp	ChemSampleID	PhabSampID	BMISampID	BMI.Metrics.SampID	Algae.Metrics.SampID	DiatomSampID	SoftAlgaeSampID
315CRPxxx	4/9/2008 0:00		1	1						315CRPxxx_4/9/2008_1	315CRPxxx_BMI_RWB_4/9/2008_1				
315CRPxxx	4/8/2010 0:00		1	1						315CRPxxx_4/8/2010_1	315CRPxxx_BMI_RWB_4/8/2010_1				
315GAVxxx	4/20/2001 0:00			1							315GAVxxx_BMI_CSBP_Trans_4/20/2001_1				
315GAVxxx	3/23/2002 0:00			1							315GAVxxx_BMI_CSBP_Trans_3/23/2002_1				
315GAVxxx	4/13/2004 0:00			1							315GAVxxx_BMI_CSBP_Trans_4/13/2004_1				
315GAVxxx	4/27/2005 0:00			1							315GAVxxx_BMI_RWB_4/27/2005_1				
315GAVxxx	4/5/2007 0:00		1	1						315GAVxxx_4/5/2007_1	315GAVxxx_BMI_RWB_4/5/2007_1				
315GAVxxx	4/29/2008 0:00		1	1						315GAVxxx_4/29/2008_1	315GAVxxx_BMI_RWB_4/29/2008_1				
315MISxxx	4/21/2001 0:00			1							315MISxxx_BMI_CSBP_Trans_4/21/2001_1				
315MISxxx	3/25/2002 0:00			1							315MISxxx_BMI_CSBP_Trans_3/25/2002_1				
315MISxxx	4/12/2004 0:00			1							315MISxxx_BMI_CSBP_Trans_4/12/2004_1				
315MISxxx	4/26/2005 0:00			1							315MISxxx_BMI_RWB_4/26/2005_1				
315MISxxx	4/8/2010 0:00		1							315MISxxx_4/8/2010_1					
315MIUxxx	4/14/2001 0:00			1							315MIUxxx_BMI_CSBP_Trans_4/14/2001_1				
315MIUxxx	3/22/2002 0:00			1							315MIUxxx_BMI_CSBP_Trans_3/22/2002_1				
315MIUxxx	4/28/2008 0:00		1	1						315MIUxxx_4/28/2008_1	315MIUxxx_BMI_RWB_4/28/2008_1				
315MTCxxx	4/10/2008 0:00		1	1						315MTCxxx_4/10/2008_1	315MTCxxx_BMI_RWB_4/10/2008_1				
315RINxxx	4/14/2001 0:00			1							315RINxxx_BMI_CSBP_Trans_4/14/2001_1				
315RINxxx	3/25/2002 0:00			1							315RINxxx_BMI_CSBP_Trans_3/25/2002_1				
315RINxxx	4/12/2004 0:00			1							315RINxxx_BMI_CSBP_Trans_4/12/2004_1				
315RINxxx	4/26/2005 0:00			1							315RINxxx_BMI_RWB_4/26/2005_1				
315RINxxx	4/5/2007 0:00		1	1						315RINxxx_4/5/2007_1	315RINxxx_BMI_RWB_4/5/2007_1				
315RINxxx	4/8/2008 0:00		1	1						315RINxxx_4/8/2008_1	315RINxxx_BMI_RWB_4/8/2008_1				
315RSBxxx	4/21/2001 0:00			1							315RSBxxx_BMI_CSBP_Trans_4/21/2001_1				
315RSBxxx	3/23/2002 0:00			1							315RSBxxx_BMI_CSBP_Trans_3/23/2002_1				
315RSBxxx	5/7/2008 0:00		1	1						315RSBxxx_5/7/2008_1	315RSBxxx_BMI_RWB_5/7/2008_1				
315TCIxxx	4/21/2001 0:00			1							315TCIxxx_BMI_CSBP_Trans_4/21/2001_1				
315TCIxxx	3/23/2002 0:00			1							315TCIxxx_BMI_CSBP_Trans_3/23/2002_1				
315TORxxx	4/14/2001 0:00			1							315TORxxx_BMI_CSBP_Trans_4/14/2001_1				
315TORxxx	3/25/2002 0:00			1							315TORxxx_BMI_CSBP_Trans_3/25/2002_1				
315TORxxx	4/9/2008 0:00		1	1						315TORxxx_4/9/2008_1	315TORxxx_BMI_RWB_4/9/2008_1				
31A	7/22/2010 0:00	1							31A_7/22/2010_1						
31B-34	7/15/2010 0:00	1							31B-34_7/15/2010_1						
35C-11	7/12/2010 0:00	1							35C-11_7/12/2010_1						
35C-51A	7/12/2010 0:00	1							35C-51A_7/12/2010_1						
36A	8/7/2009 0:00	1							36A_8/7/2009_1						
36A	5/27/2010 0:00	1							36A_5/27/2010_1						
36B-74	7/26/2010 0:00	1							36B-74_7/26/2010_1						
36B-95	7/12/2010 0:00	1							36B-95_7/12/2010_1						
37A-70	7/13/2010 0:00	1							37A-70_7/13/2010_1						
37B-19	7/16/2010 0:00	1							37B-19_7/16/2010_1						
37B-22	7/16/2010 0:00	1							37B-22_7/16/2010_1						
37c	7/15/2009 0:00	1							37c_7/15/2009_1						
37C-29	7/19/2010 0:00	1							37C-29_7/19/2010_1						
4. Laurel Street	5/27/2009 0:00	1							4. Laurel Street_5/27/2009_1						
4. Laurel Street	6/25/2009 0:00	1							4. Laurel Street_6/25/2009_1						
401JCCARx	5/7/1998 0:00			1							401JCCARx_BMI_CSBP_Trans_5/7/1998_1				
401JCCBRx	5/7/1998 0:00			1							401JCCBRx_BMI_CSBP_Trans_5/7/1998_1				
401PJC1xx	7/15/1998 0:00			1							401PJC1xx_BMI_CSBP_Trans_7/15/1998_1				
401PJC2xx	7/15/1998 0:00			1							401PJC2xx_BMI_CSBP_Trans_7/15/1998_1				
401PJC3xx	7/15/1998 0:00			1							401PJC3xx_BMI_CSBP_Trans_7/15/1998_1				
401PJC4xx	7/15/1998 0:00			1							401PJC4xx_BMI_CSBP_Trans_7/15/1998_1				
401VCJVCL	6/5/2006 0:00	1	1	1					401VCJVCL_6/5/2006_1	401VCJVCL_6/5/2006_1	401VCJVCL_BMI_TRC_6/5/2006_1				
401VCJVCU	6/5/2006 0:00	1	1	1					401VCJVCU_6/5/2006_1	401VCJVCU_6/5/2006_1	401VCJVCU_BMI_TRC_6/5/2006_1				
401VCMADL	6/7/2006 0:00	1		1					401VCMADL_6/7/2006_1		401VCMADL_BMI_TRC_6/7/2006_1				
401VCMADU	6/7/2006 0:00	1		1					401VCMADU_6/7/2006_1		401VCMADU_BMI_TRC_6/7/2006_1				
401VCPJCL	6/7/2006 0:00	1		1					401VCPJCL_6/7/2006_1		401VCPJCL_BMI_TRC_6/7/2006_1				
401VCPJCU	6/7/2006 0:00	1	1	1					401VCPJCU_6/7/2006_1	401VCPJCU_6/7/2006_1	401VCPJCU_BMI_TRC_6/7/2006_1				
401VCSAUL	6/8/2006 0:00	1	1	1					401VCSAUL_6/8/2006_1	401VCSAUL_6/8/2006_1	401VCSAUL_BMI_TRC_6/8/2006_1				
401VCSAUU	6/8/2006 0:00	1	1	1					401VCSAUU_6/8/2006_1	401VCSAUU_6/8/2006_1	401VCSAUU_BMI_TRC_6/8/2006_1				
402BA0031	5/28/2008 0:00	1	1	1		1	1	1	402BA0031_5/28/2008_1	402BA0031_5/28/2008_1	402BA0031_BMI_RWB_5/28/2008_1		402BA0031_5/28/2008_1	402BA0031_5/28/2008_1	402BA0031_5/28/2008_1
402BA0079	5/28/2008 0:00	1	1	1	1	1	1	1	402BA0079_5/28/2008_1	402BA0079_5/28/2008_1	402BA0079_BMI_RWB_5/28/2008_1	402BA0079_5/28/2008_1	402BA0079_5/28/2008_1	402BA0079_5/28/2008_1	402BA0079_5/28/2008_1
402BA0143	5/21/2008 0:00	1	1	1	1	1	1	1	402BA0143_5/21/2008_1	402BA0143_5/21/2008_1	402BA0143_BMI_RWB_5/21/2008_1	402BA0143_5/21/2008_1	402BA0143_5/21/2008_1	402BA0143_5/21/2008_1	402BA0143_5/21/2008_1
402BA0335	5/27/2008 0:00	2	1	2	2	1	1	1	402BA0335_5/27/2008_1	402BA0335_5/27/2008_1	402BA0335_BMI_RWB_5/27/2008_1	402BA0335_5/27/2008_1	402BA0335_5/27/2008_1	402BA0335_5/27/2008_1	402BA0335_5/27/2008_1
402BA0335	5/29/2008 0:00	2							402BA0335_5/29/2008_1						
402VNTEST	10/2/2006 0:00	1	1						402VNTEST_10/2/2006_1	402VNTEST_10/2/2006_1					
402VRB0xx	5/19/2008 0:00	1	1						402VRB0xx_5/19/2008_1	402VRB0xx_5/19/2008_1					
402VRB0xx	5/27/2010 0:00	1	1						402VRB0xx_5/27/2010_1	402VRB0xx_5/27/2010_1					
402VRB0xx	6/9/2011 0:00	1	1						402VRB0xx_6/9/2011_1	402VRB0xx_6/9/2011_1					
402VRB0xx	5/16/2012 0:00	1	1						402VRB0xx_5/16/2012_1	402VRB0xx_5/16/2012_1					
402WE0803	6/12/2001 0:00	1	1	1	3				402WE0803_6/12/2001_1	402WE0803_6/12/2001_1	402WE0803_BMI_CSBP_Trans_6/12/2001_1	402WE0803_6/12/2001_1			
403BA0047	5/15/2008 0:00	1	1	1	1	1	1	1	403BA0047_5/15/2008_1	403BA0047_5/15/2008_1	403BA0047_BMI_RWB_5/15/2008_1	403BA0047_5/15/2008_1	403BA0047_5/15/2008_1	403BA0047_5/15/2008_1	403BA0047_5/15/2008_1
403BA0068	5/14/2008 0:00	1	1	1	1	1	1	1	403BA0068_5/14/2008_1	403BA0068_5/14/2008_1	403BA0068_BMI_RWB_5/14/2008_1	403BA0068_5/14/2008_1	403BA0068_5/14/2008_1	403BA0068_5/14/2008_1	403BA0068_5/14/2008_1
403BA0140	5/21/2008 0:00	1	1	1	1	1	1	1	403BA0140_5/21/2008_1	403BA0140_5/21/2008_1	403BA0140_BMI_RWB_5/21/2008_1	403BA0140_5/21/2008_1	403BA0140_5/21/2008_1	403BA0140_5/21/2008_1	403BA0140_5/21/2008_1
403BA0191	5/14/2008 0:00	1	1	1		1	1	1	403BA0191_5/14/2008_1	403BA0191_5/14/2008_1	403BA0191_BMI_RWB_5/14/2008_1		403BA0191_5/14/2008_1	403BA0191_5/14/2008_1	403BA0191_5/14/2008_1
403BQT104	8/28/2002 0:00	1							403BQT104_8/28/2002_1						
403BQT105	8/28/2002 0:00	1							403BQT105_8/28/2002_1						
403BQT106	8/28/2002 0:00	1							403BQT106_8/28/2002_1						
403BQT109	8/28/2002 0:00	1							403BQT109_8/28/2002_1						
403CE0156	5/18/2005 0:00			1	1						403CE0156_BMI_RWB_5/18/2005_1	403CE0156_5/18/2005_1			
403CE0188	5/17/2005 0:00			1	2						403CE0188_BMI_RWB_5/17/2005_1	403CE0188_5/17/2005_1			
403FCA022	5/27/2009 0:00			1	2						403FCA022_BMI_RWB_5/27/2009_1	403FCA022_5/27/2009_1			
403FCA022	5/29/2013 0:00	1		1					403FCA022_5/29/2013_1		403FCA022_BMI_RWB_5/29/2013_1				
403FCA038	5/26/2009 0:00			1	1						403FCA038_BMI_RWB_5/26/2009_1	403FCA038_5/26/2009_1			
403MTVWGC	6/12/2012 0:00	1	1	1					403MTVWGC_6/12/2012_1	403MTVWGC_6/12/2012_1	403MTVWGC_BMI_RWB_6/12/2012_1				
403ROBRGC	4/30/2013 0:00	1		1					403ROBRGC_4/30/2013_1		403ROBRGC_BMI_RWB_4/30/2013_1				
403S00772	5/20/2009 0:00	1	1	1	1	1	1	1	403S00772_5/20/2009_1	403S00772_5/20/2009_1	403S00772_BMI_RWB_5/20/2009_1	403S00772_5/20/2009_1	403S00772_5/20/2009_1	403S00772_5/20/2009_1	403S00772_5/20/2009_1
403S00831	6/10/2010 0:00	1	1	1	1	1	1	1	403S00831_6/10/2010_1	403S00831_6/10/2010_1	403S00831_BMI_RWB_6/10/2010_1	403S00831_6/10/2010_1	403S00831_6/10/2010_1	403S00831_6/10/2010_1	403S00831_6/10/2010_1
403S01164	6/24/2011 0:00				1							403S01164_6/24/2011_1			
403S01272	6/9/2009 0:00	1	1	1	1	1	1	1	403S01272_6/9/2009_1	403S01272_6/9/2009_1	403S01272_BMI_RWB_MCM_6/9/2009_1	403S01272_6/9/2009_1	403S01272_6/9/2009_1	403S01272_6/9/2009_1	403S01272_6/9/2009_1
403S01784	6/9/2009 0:00	1	1	1	1	1	1	1	403S01784_6/9/2009_1	403S01784_6/9/2009_1	403S01784_BMI_RWB_MCM_6/9/2009_1	403S01784_6/9/2009_1	403S01784_6/9/2009_1	403S01784_6/9/2009_1	403S01784_6/9/2009_1
403S01979	7/14/2011 0:00				1							403S01979_7/14/2011_1			
403S02764	6/14/2011 0:00	1	1	1	1	1	1	1	403S02764_6/14/2011_1	403S02764_6/14/2011_1	403S02764_BMI_RWB_6/14/2011_1	403S02764_6/14/2011_1	403S02764_6/14/2011_1	403S02764_6/14/2011_1	403S02764_6/14/2011_1
403S03320	6/8/2010 0:00	1	1	1		1	1	1	403S03320_6/8/2010_1	403S03320_6/8/2010_1	403S03320_BMI_RWB_MCM_6/8/2010_1		403S03320_6/8/2010_1	403S03320_6/8/2010_1	403S03320_6/8/2010_1
403S03832	6/8/2009 0:00	1	1	1	1	1	1	1	403S03832_6/8/2009_1	403S03832_6/8/2009_1	403S03832_BMI_RWB_6/8/2009_1	403S03832_6/8/2009_1	403S03832_6/8/2009_1	403S03832_6/8/2009_1	403S03832_6/8/2009_1
403S04600	6/8/2010 0:00	1	1	1	1	1	1	1	403S04600_6/8/2010_1	403S04600_6/8/2010_1	403S04600_BMI_RWB_MCM_6/8/2010_1	403S04600_6/8/2010_1	403S04600_6/8/2010_1	403S04600_6/8/2010_1	403S04600_6/8/2010_1
403S04868	6/15/2011 0:00	1	1	1	1	1	1	1	403S04868_6/15/2011_1	403S04868_6/15/2011_1	403S04868_BMI_RWB_6/15/2011_1	403S04868_6/15/2011_1	403S04868_6/15/2011_1	403S04868_6/15/2011_1	403S04868_6/15/2011_1
403S05247	6/1/2010 0:00	1	1	1	1	1	1	1	403S05247_6/1/2010_1	403S05247_6/1/2010_1	403S05247_BMI_RWB_MCM_6/1/2010_1	403S05247_6/1/2010_1	403S05247_6/1/2010_1	403S05247_6/1/2010_1	403S05247_6/1/2010_1
403S06660	6/14/2012 0:00	2	2	2					403S06660_6/14/2012_1	403S06660_6/14/2012_1	403S06660_BMI_RWB_6/14/2012_1				
403S06904	6/9/2010 0:00	1	1	1	1	1	1	1	403S06904_6/9/2010_1	403S06904_6/9/2010_1	403S06904_BMI_RWB_6/9/2010_1	403S06904_6/9/2010_1	403S06904_6/9/2010_1	403S06904_6/9/2010_1	403S06904_6/9/2010_1
403S11084	6/9/2010 0:00	1	1	1	1	1	1	1	403S11084_6/9/2010_1	403S11084_6/9/2010_1	403S11084_BMI_RWB_MCM_6/9/2010_1	403S11084_6/9/2010_1	403S11084_6/9/2010_1	403S11084_6/9/2010_1	403S11084_6/9/2010_1
403S14156	6/9/2009 0:00	1	1	1	1	1	1	1	403S14156_6/9/2009_1	403S14156_6/9/2009_1	403S14156_BMI_RWB_MCM_6/9/2009_1	403S14156_6/9/2009_1	403S14156_6/9/2009_1	403S14156_6/9/2009_1	403S14156_6/9/2009_1
403S15608	6/8/2010 0:00	1	1	1	1	1	1	1	403S15608_6/8/2010_1	403S15608_6/8/2010_1	403S15608_BMI_RWB_MCM_6/8/2010_1	403S15608_6/8/2010_1	403S15608_6/8/2010_1	403S15608_6/8/2010_1	403S15608_6/8/2010_1
403S16978	6/26/2013 0:00	1		1					403S16978_6/26/2013_1		403S16978_BMI_RWB_6/26/2013_1				
403S34646	6/25/2013 0:00	1		1					403S34646_6/25/2013_1		403S34646_BMI_RWB_6/25/2013_1				
403S34646	7/1/2013 0:00	1							403S34646_7/1/2013_1						
403S39062	6/25/2013 0:00	1		1					403S39062_6/25/2013_1		403S39062_BMI_RWB_6/25/2013_1				
403SCSARB	9/12/2005 0:00			1							403SCSARB_BMI_CSBP_Trans_9/12/2005_1				
403SCVARC	9/14/2005 0:00			1							403SCVARC_BMI_CSBP_Trans_9/14/2005_1				
403SCVARD	9/1/2005 0:00			1							403SCVARD_BMI_CSBP_Trans_9/1/2005_1				
403SCVARE	9/12/2005 0:00			1							403SCVARE_BMI_RWB_9/12/2005_1				
403STBQTU	8/20/2002 0:00	1							403STBQTU_8/20/2002_1						
403STC004	10/30/2001 0:00	1		1					403STC004_10/30/2001_1		403STC004_BMI_CSBP_Trans_10/30/2001_1				
403STC004	2/4/2003 0:00			1							403STC004_BMI_CSBP_Trans_2/4/2003_1				
403STC004	2/25/2003 0:00	1							403STC004_2/25/2003_1						
403STC008	11/6/2001 0:00			1							403STC008_BMI_CSBP_Trans_11/6/2001_1				
403STC008	11/13/2001 0:00	1							403STC008_11/13/2001_1						
403STC008	2/4/2003 0:00			1							403STC008_BMI_CSBP_Trans_2/4/2003_1				
403STC008	2/24/2003 0:00	1							403STC008_2/24/2003_1						
403STC016	11/7/2001 0:00			1							403STC016_BMI_CSBP_Trans_11/7/2001_1				
403STC016	11/14/2001 0:00	1							403STC016_11/14/2001_1						
403STC016	2/5/2003 0:00			1							403STC016_BMI_CSBP_Trans_2/5/2003_1				
403STC016	2/24/2003 0:00	1							403STC016_2/24/2003_1						
403STC019	10/31/2001 0:00	1		1					403STC019_10/31/2001_1		403STC019_BMI_CSBP_Trans_10/31/2001_1				
403STC019	2/4/2003 0:00			1							403STC019_BMI_CSBP_Trans_2/4/2003_1				
403STC019	2/25/2003 0:00	1							403STC019_2/25/2003_1						
403STC068	2/25/2003 0:00	1							403STC068_2/25/2003_1						
403STC076	2/5/2003 0:00			1							403STC076_BMI_CSBP_Trans_2/5/2003_1				
403STC076	2/25/2003 0:00	1							403STC076_2/25/2003_1						
403STC082	2/5/2003 0:00			1							403STC082_BMI_CSBP_Trans_2/5/2003_1				
403STC082	2/24/2003 0:00	1							403STC082_2/24/2003_1						
403STC090	2/6/2003 0:00			1							403STC090_BMI_CSBP_Trans_2/6/2003_1				
403STC090	2/24/2003 0:00	1							403STC090_2/24/2003_1						
403STCBQT	10/31/2001 0:00	1	1	1					403STCBQT_10/31/2001_1	403STCBQT_10/31/2001_1	403STCBQT_BMI_CSBP_Trans_10/31/2001_1				
403STCBQT	11/15/2001 0:00	1							403STCBQT_11/15/2001_1						
403STCBQT	8/5/2002 0:00	1							403STCBQT_8/5/2002_1						
403STCBQT	8/20/2002 0:00	1							403STCBQT_8/20/2002_1						
403STCBQT	8/28/2002 0:00	1							403STCBQT_8/28/2002_1						
403STCBQT	9/4/2002 0:00	1							403STCBQT_9/4/2002_1						
403STCBQT	9/19/2002 0:00	1							403STCBQT_9/19/2002_1						
403STCBQT	10/4/2002 0:00	1							403STCBQT_10/4/2002_1						
403STCBQT	10/19/2002 0:00	1							403STCBQT_10/19/2002_1						
403STCBQT	11/7/2002 0:00	1							403STCBQT_11/7/2002_1						
403STCBQT	11/18/2002 0:00	1							403STCBQT_11/18/2002_1						
403STCBQT	12/3/2002 0:00	1							403STCBQT_12/3/2002_1						
403STCBQT	12/18/2002 0:00	1							403STCBQT_12/18/2002_1						
403STCBQT	1/2/2003 0:00	1							403STCBQT_1/2/2003_1						
403STCBQT	1/13/2003 0:00	1	1						403STCBQT_1/13/2003_1	403STCBQT_1/13/2003_1					
403STCBQT	1/17/2003 0:00	1							403STCBQT_1/17/2003_1						
403STCBQT	1/22/2003 0:00	1							403STCBQT_1/22/2003_1						
403STCBQT	2/1/2003 0:00	1							403STCBQT_2/1/2003_1						
403STCBQT	2/4/2003 0:00			1							403STCBQT_BMI_CSBP_Trans_2/4/2003_1				
403STCBQT	2/16/2003 0:00	1							403STCBQT_2/16/2003_1						
403STCBQT	3/3/2003 0:00	1							403STCBQT_3/3/2003_1						
403STCBQT	3/18/2003 0:00	1							403STCBQT_3/18/2003_1						
403STCBQT	4/2/2003 0:00	1							403STCBQT_4/2/2003_1						
403STCBQT	4/17/2003 0:00	1							403STCBQT_4/17/2003_1						
403STCBQT	5/2/2003 0:00	1							403STCBQT_5/2/2003_1						
403STCBQT	5/17/2003 0:00	1							403STCBQT_5/17/2003_1						
