StationID_Master	BMISampleID	CollDate	DataType3	CSCI	O_E	MMI_Score	BurrowerPct	BurrowerTaxa	BurrowerTaxaPct	CFCGPct	CFCGTaxa	CFCGTaxaPct	ClimberPct	ClimberTaxa	ClimberTaxaPct	ClingerPct	ClingerTaxa	ClingerTaxaPct	ColeopteraTaxa	ColeopteraTaxaPct	DipteraPct	DipteraTaxa	DipteraTaxaPct	DominantPct	EPTPct	EPTTaxa	EPTTaxaPct	IntolerantPct	IntolerantTaxa	IntolerantTaxaPct	InvasivePct	InvasiveTaxa	InvasiveTaxaPct	ScraperPct	ScraperTaxa	ScraperTaxaPct	ShannonDiversity	ShredderPct	ShredderTaxa	ShredderTaxaPct	SimpsonDiversity	SwimmerPct	SwimmerTaxa	SwimmerTaxaPct	TaxaRichness	TolerantPct	TolerantTaxa	TolerantTaxaPct
403S15608	403S15608_6/8/2010_1	6/8/2010 0:00:00	BMI	0.80	1.02	0.58	0.19	2.00	0.13	0.88	11.00	0.52	0.02	2.00	0.13	0.04	3.00	0.20	0.00	0.00	0.31	9.00	0.42	0.61	0.58	3.33	0.23	0.00	0.00	0.00	0.00	0.00	0.00	2.12766e-03	1.00	0.04	2.21	0.00	0.00	0.00	0.84	0.37	2.00	0.13	21.00	0.03	4.00	0.19
403WE0535	403WE0535_6/13/2000_1	6/13/2000 0:00:00	BMI	0.96	1.19	0.72					10.20						5.50		1.70											0.04							2.34		0.70									
403WE0535	403WE0535_6/13/2000_2	6/13/2000 0:00:00	BMI	0.96	1.24	0.69					12.00						5.00		1.00											0.04							2.38		0.00									
403WE0746	403WE0746_7/31/2001_1	7/31/2001 0:00:00	BMI	0.97	1.02	0.92					11.50						11.35		2.25											0.13							2.29		0.65									
403WE0746	403WE0746_7/31/2001_2	7/31/2001 0:00:00	BMI	0.85	0.95	0.74					9.00						8.00		2.00											0.09							1.81		0.00									
403WE0746	403WE0746_7/31/2001_3	7/31/2001 0:00:00	BMI	1.04	1.16	0.91					9.85						9.75		2.00											0.16							2.37		0.85									
404BA0084	404BA0084_6/4/2008_1	6/4/2008 0:00:00	BMI	1.08	1.18	0.98	0.60	7.00	0.24	0.73	14.85	0.44	5.509642e-03	2.00	0.06	0.03	3.95	0.13	4.97	0.17	0.44	9.00	0.26	0.66	0.15	6.66	0.29	0.07	7.00	0.20	0.00	0.00	0.00	0.10	2.00	0.05	2.20	0.02	1.95	0.05	0.78	0.28	12.00	0.41	34.00	0.14	9.00	0.26
404BA0104	404BA0104_6/18/2008_1	6/18/2008 0:00:00	BMI	0.69	0.87	0.52	0.59	1.00	0.12	0.35	8.57	0.60	0.06	1.00	0.12	0.20	2.27	0.25	0.00	0.00	0.09	3.00	0.20	0.83	0.04	2.66	0.26	0.00	0.00	0.00	0.55	1.00	0.06	0.60	3.00	0.20	1.47	0.00	0.00	0.00	0.64	0.12	3.00	0.37	15.00	0.84	8.00	0.53
404BA0142	404BA0142_6/18/2008_1	6/18/2008 0:00:00	BMI	1.21	1.31	1.11	0.33	4.00	0.18	0.52	8.97	0.29	0.28	2.00	0.09	0.03	4.87	0.22	6.35	0.22	0.27	6.00	0.19	0.58	0.47	5.33	0.25	0.32	5.00	0.16	0.00	0.00	0.00	0.04	4.00	0.12	2.37	0.33	3.00	0.09	0.85	0.17	6.00	0.27	31.00	0.10	5.00	0.16
404BA0376	404BA0376_6/5/2008_1	6/5/2008 0:00:00	BMI	0.91	1.07	0.75	0.85	4.00	0.25	0.62	8.90	0.42	0.01	2.00	0.12	0.05	3.92	0.25	2.00	0.09	0.58	7.00	0.33	0.87	0.03	4.66	0.33	0.02	2.00	0.09	0.00	0.00	0.00	0.30	1.00	0.04	1.40	6.0e-03	1.00	0.04	0.61	0.07	5.00	0.31	21.00	0.33	4.00	0.19
404BA0376	404BA0376_6/5/2008_2	6/5/2008 0:00:00	BMI	0.80	0.94	0.65					7.75						2.85		2.80											0.09							1.17		1.80									
404BA0526	404BA0526_6/4/2008_1	6/4/2008 0:00:00	BMI	1.04	1.14	0.95	0.56	6.00	0.28	0.86	10.87	0.39	0.02	3.00	0.14	0.13	7.35	0.33	3.87	0.14	0.49	7.00	0.25	0.72	0.34	6.66	0.35	0.01	5.00	0.18	0.00	0.00	0.00	0.05	3.00	0.10	1.92	6.0e-03	1.92	0.07	0.73	0.27	3.00	0.14	28.00	0.13	6.00	0.21
404BA0616	404BA0616_6/3/2008_1	6/3/2008 0:00:00	BMI	0.73	0.86	0.61	0.94	2.00	0.22	0.86	8.92	0.45	2.325581e-03	1.00	0.11	0.01	1.97	0.22	0.50	0.05	0.86	9.00	0.45	0.87	4.0e-03	1.33	0.10	4.0e-03	2.00	0.10	0.00	0.00	0.00	0.05	1.00	0.05	0.99	2.0e-03	1.00	0.05	0.34	0.03	1.00	0.11	20.00	0.08	5.00	0.25
404BA0808	404BA0808_6/2/2008_1	6/2/2008 0:00:00	BMI	0.75	0.95	0.54	0.74	2.00	0.20	0.72	8.80	0.47	0.01	1.00	0.10	0.12	2.00	0.20	0.00	0.00	0.50	8.00	0.42	0.79	0.06	2.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.21	3.00	0.15	1.81	0.00	0.00	0.00	0.74	0.06	2.00	0.20	19.00	0.45	8.00	0.42
404BA0964	404BA0964_6/4/2008_1	6/4/2008 0:00:00	BMI	0.74	0.66	0.82	0.47	2.00	0.11	0.63	8.97	0.37	0.08	2.00	0.11	6.696429e-03	2.97	0.16	3.00	0.16	0.42	4.00	0.16	0.57	0.21	6.66	0.41	0.05	5.00	0.21	0.00	0.00	0.00	0.06	3.00	0.12	2.18	0.03	2.00	0.08	0.79	0.35	7.00	0.38	24.00	0.13	4.00	0.16
404BA1128	404BA1128_6/19/2008_1	6/19/2008 0:00:00	BMI	0.63	0.75	0.51					7.65						3.00		0.00							7.00				0.00							1.65		0.00									
404BA1144	404BA1144_6/10/2008_1	6/10/2008 0:00:00	BMI	1.13	1.31	0.96	0.61	2.00	0.06	0.81	13.60	0.43	0.08	3.00	0.10	0.04	7.77	0.27	4.25	0.15	0.74	11.00	0.34	0.72	0.09	6.66	0.31	4.0e-03	2.00	0.06	0.00	0.00	0.00	2.0e-03	1.00	0.03	1.87	0.01	1.87	0.06	0.65	0.10	8.00	0.27	32.00	0.11	6.00	0.18
404BA1166	404BA1166_6/10/2008_1	6/10/2008 0:00:00	BMI	0.90	1.01	0.79	0.66	2.00	0.11	0.92	9.95	0.40	0.02	1.00	0.05	0.02	2.97	0.16	4.92	0.20	0.66	7.00	0.28	0.82	0.23	3.33	0.20	8.0e-03	1.00	0.04	0.00	0.00	0.00	0.01	3.00	0.12	1.50	0.01	1.95	0.08	0.58	0.23	6.00	0.33	25.00	0.05	9.00	0.36
404BA1166	404BA1166_6/4/2009_1	6/4/2009 0:00:00	BMI	1.03	1.00	1.06	0.28	2.00	0.07	0.76	14.72	0.41	0.02	1.00	0.03	0.27	10.57	0.42	6.37	0.19	0.25	7.00	0.19	0.50	0.44	11.33	0.36	0.04	3.00	0.08	0.00	0.00	0.00	0.06	4.00	0.11	2.67	0.03	2.00	0.05	0.88	0.33	7.00	0.26	36.00	0.19	7.00	0.19
404CE0316	404CE0316_7/24/2007_1	7/24/2007 0:00:00	BMI	0.33	0.42	0.24					4.00						0.00		0.00											0.00							1.20		0.00									
404CE0316	404CE0316_7/24/2007_2	7/24/2007 0:00:00	BMI	0.38	0.51	0.24					4.80						0.75		0.00											0.00							0.98		0.00									
404S00808	404S00808_6/22/2010_1	6/22/2010 0:00:00	BMI	0.51	0.60	0.42	0.93	1.00	0.16	0.84	6.00	0.40	0.01	2.00	0.33	0.00	0.00	0.00	0.00	0.00	0.39	3.00	0.20	0.80	6.0e-03	1.66	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.12	3.00	0.20	1.74	0.00	0.00	0.00	0.75	0.04	2.00	0.33	15.00	0.51	8.00	0.53
404S01128	404S01128_6/23/2010_1	6/23/2010 0:00:00	BMI	0.59	0.63	0.55	0.59	1.00	0.16	0.61	6.00	0.50	0.05	2.00	0.33	0.23	1.00	0.16	0.00	0.00	0.28	1.00	0.08	0.70	0.17	3.33	0.25	0.00	0.00	0.00	0.23	1.00	0.08	0.23	1.00	0.08	1.89	0.00	0.00	0.00	0.81	0.11	2.00	0.33	12.00	0.49	5.00	0.41
404S02920	404S02920_5/12/2009_1	5/12/2009 0:00:00	BMI	0.45	0.49	0.41	0.94	2.00	0.66	0.55	4.87	0.55	0.00	0.00	0.00	0.05	0.92	0.33	0.00	0.00	0.10	3.00	0.33	0.74	0.00	9.92	0.00	0.00	0.00	0.00	2.0e-03	1.00	0.11	0.44	3.00	0.33	1.68	0.00	0.00	0.00	0.76	0.00	0.00	0.00	9.00	0.56	4.00	0.44
404S03048	404S03048_5/13/2009_1	5/13/2009 0:00:00	BMI	0.71	0.91	0.51	0.79	2.00	0.50	0.93	6.00	0.66	0.00	0.00	0.00	0.14	1.00	0.25	0.00	0.00	0.55	3.00	0.33	0.74	0.03	7.33	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.03	1.00	0.11	1.63	2.0e-03	0.95	0.11	0.72	0.06	1.00	0.25	9.00	0.27	3.00	0.33
404S05992	404S05992_5/12/2009_1	5/12/2009 0:00:00	BMI	0.50	0.59	0.42	0.38	1.00	0.33	0.22	5.92	0.75	0.00	0.00	0.00	0.50	1.00	0.33	0.00	0.00	0.04	2.00	0.25	0.92	6.0e-03	2.29	0.12	0.00	0.00	0.00	0.76	1.00	0.12	0.76	1.00	0.12	0.91	0.00	0.00	0.00	0.40	0.11	1.00	0.33	8.00	0.84	3.00	0.37
404S06456	404S06456_5/14/2009_1	5/14/2009 0:00:00	BMI	0.97	1.08	0.86	0.61	2.00	0.11	0.81	12.20	0.42	0.04	4.00	0.23	0.17	5.92	0.35	1.90	0.07	0.26	4.00	0.14	0.72	0.11	6.00	0.32	0.04	3.00	0.10	0.00	0.00	0.00	0.09	3.00	0.10	2.11	2.0e-03	1.00	0.03	0.80	0.13	4.00	0.23	28.00	0.27	8.00	0.28
404S08040	404S08040_5/12/2009_1	5/12/2009 0:00:00	BMI	0.41	0.45	0.38	0.96	1.00	0.25	0.99	6.92	0.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.82	4.00	0.50	0.96	0.00	1.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.73	0.00	0.00	0.00	0.34	0.00	0.00	0.00	8.00	0.16	4.00	0.50
404S08616	404S08616_5/13/2009_1	5/13/2009 0:00:00	BMI	0.47	0.58	0.35	0.96	1.00	0.33	0.87	4.87	0.62	0.02	1.00	0.33	0.00	0.00	0.00	0.00	0.00	0.19	3.00	0.37	0.79	0.00	1.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	1.00	0.12	1.50	0.00	0.00	0.00	0.73	0.00	0.00	0.00	8.00	0.62	4.00	0.50
404S08616	404S08616_5/13/2009_2	5/13/2009 0:00:00	BMI	0.36	0.42	0.30					3.85						0.00		0.00											0.00							1.38		0.00									
404S08846	404S08846_6/22/2010_1	6/22/2010 0:00:00	BMI	0.96	1.05	0.87	0.51	1.00	0.05	0.80	12.00	0.57	0.03	1.00	0.05	0.17	8.00	0.47	2.00	0.09	0.46	4.00	0.19	0.74	0.38	6.00	0.42	0.02	2.00	0.09	0.00	0.00	0.00	4.0e-03	2.00	0.09	1.79	0.00	0.00	0.00	0.73	0.21	2.00	0.11	21.00	0.01	4.00	0.19
404S11406	404S11406_5/11/2009_1	5/11/2009 0:00:00	BMI	0.61	0.73	0.50	0.14	1.00	0.12	0.46	9.77	0.71	0.00	0.00	0.00	0.13	2.00	0.25	0.00	0.00	0.03	2.00	0.14	0.80	0.19	4.00	0.42	2.0e-03	1.00	0.06	0.47	2.00	0.14	0.50	2.00	0.14	1.63	0.00	0.00	0.00	0.70	0.53	4.00	0.50	14.00	0.76	6.00	0.42
404S11880	404S11880_6/7/2011_1	6/7/2011 0:00:00	BMI	0.69	0.78	0.60	0.74	1.00	0.16	0.49	6.00	0.46	0.02	1.00	0.16	0.11	2.00	0.33	0.00	0.00	0.18	2.00	0.15	0.78	0.04	5.00	0.15	0.00	0.00	0.00	0.41	1.00	0.07	0.46	2.00	0.15	1.71	0.00	0.00	0.00	0.75	0.10	2.00	0.33	13.00	0.68	6.00	0.46
404S13160	404S13160_6/21/2010_1	6/21/2010 0:00:00	BMI	0.26	0.24	0.29	1.00	1.00	1.00	0.03	3.00	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.0e-03	1.00	0.25	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.96	1.00	0.25	0.96	1.00	0.25	0.18	0.00	0.00	0.00	0.07	0.00	0.00	0.00	4.00	0.99	3.00	0.75
404S13672	404S13672_6/8/2011_1	6/8/2011 0:00:00	BMI	0.76	0.90	0.63	0.39	1.00	0.12	0.70	9.00	0.60	0.01	0.00	0.00	0.28	3.00	0.37	0.00	0.00	0.37	4.00	0.26	0.86	0.53	3.33	0.33	2.028398e-03	1.00	0.06	0.01	1.00	0.06	0.03	3.00	0.20	1.66	0.00	0.00	0.00	0.74	0.29	2.00	0.25	15.00	0.08	7.00	0.46
404S14952	404S14952_6/15/2011_1	6/15/2011 0:00:00	BMI	0.53	0.57	0.49	0.93	1.00	0.33	0.92	5.00	0.50	0.02	1.00	0.33	0.04	1.00	0.33	0.00	0.00	0.10	3.00	0.30	0.91	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	2.00	0.20	1.24	0.00	0.00	0.00	0.63	0.00	0.00	0.00	10.00	0.88	5.00	0.50
404S16168	404S16168_6/23/2010_1	6/23/2010 0:00:00	BMI	0.61	0.64	0.58	0.43	1.00	0.12	0.25	7.00	0.50	0.02	1.00	0.12	0.34	2.00	0.25	0.00	0.00	0.10	2.00	0.14	0.85	0.12	3.33	0.35	0.01	1.00	0.07	0.64	1.00	0.07	0.65	2.00	0.14	1.29	0.00	0.00	0.00	0.55	0.06	2.00	0.25	14.00	0.76	5.00	0.35
404S16232	404S16232_6/9/2011_1	6/9/2011 0:00:00	BMI	0.40	0.33	0.46	0.81	1.00	0.33	0.23	5.00	0.55	0.12	1.00	0.33	0.00	0.00	0.00	1.00	0.11	0.02	2.00	0.22	0.96	0.00	0.00	0.00	0.00	0.00	0.00	0.75	1.00	0.11	0.76	2.00	0.22	0.78	0.00	0.00	0.00	0.39	0.00	0.00	0.00	9.00	0.96	5.00	0.55
404S16516	404S16516_5/18/2009_1	5/18/2009 0:00:00	BMI	0.57	0.64	0.49	0.76	1.00	0.33	0.39	5.00	0.55	0.00	0.00	0.00	0.23	2.00	0.66	0.00	0.00	0.18	2.00	0.22	0.85	4.0e-03	0.99	0.11	0.00	0.00	0.00	0.60	1.00	0.11	0.60	1.00	0.11	1.24	0.00	0.00	0.00	0.59	0.00	0.00	0.00	9.00	0.71	4.00	0.44
404S17266	404S17266_5/19/2009_1	5/19/2009 0:00:00	BMI	0.70	0.86	0.54	0.43	2.00	0.33	0.38	6.92	0.53	0.00	0.00	0.00	0.14	1.97	0.33	0.00	0.00	0.17	6.00	0.46	0.84	0.11	1.98	0.15	0.00	0.00	0.00	0.60	1.00	0.07	0.60	1.00	0.07	1.32	0.00	0.00	0.00	0.59	0.40	1.00	0.16	13.00	0.68	2.00	0.15
404S17664	404S17664_5/20/2009_1	5/20/2009 0:00:00	BMI	0.53	0.56	0.51	0.57	3.00	0.42	0.53	5.80	0.40	0.24	1.00	0.14	0.15	1.87	0.28	0.00	0.00	0.05	6.00	0.40	0.86	2.0e-03	13.51	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.41	1.00	0.06	1.48	2.0e-03	0.90	0.06	0.68	0.00	0.00	0.00	15.00	0.90	6.00	0.40
404S18666	404S18666_6/15/2011_1	6/15/2011 0:00:00	BMI	0.56	0.65	0.47	0.07	2.00	0.66	0.55	4.00	0.50	0.00	0.00	0.00	0.92	1.00	0.33	0.00	0.00	0.13	3.00	0.37	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.37	1.00	0.12	0.38	2.00	0.25	1.31	0.00	0.00	0.00	0.67	0.00	0.00	0.00	8.00	0.78	3.00	0.37
404S22464	404S22464_5/19/2009_1	5/19/2009 0:00:00	BMI	0.54	0.64	0.45	0.85	1.00	0.33	0.39	5.97	0.75	0.00	0.00	0.00	0.11	1.00	0.33	0.00	0.00	0.05	3.00	0.37	0.96	2.0e-03	0.66	0.12	0.00	0.00	0.00	0.59	1.00	0.12	0.59	1.00	0.12	0.97	0.00	0.00	0.00	0.53	0.03	1.00	0.33	8.00	0.93	3.00	0.37
404S25668	404S25668_6/23/2010_1	6/23/2010 0:00:00	BMI	0.63	0.56	0.71	0.90	1.00	0.25	0.33	5.00	0.50	0.00	0.00	0.00	0.06	2.00	0.50	0.00	0.00	0.08	2.00	0.20	0.90	8.0e-03	2.33	0.30	0.00	0.00	0.00	0.62	1.00	0.10	0.65	2.00	0.20	1.15	0.00	0.00	0.00	0.56	0.02	1.00	0.25	10.00	0.90	4.00	0.40
