"StationID"	"Lat_Dec"	"Long_Dec"	"StreamType"	"WBID"	"Elevation"	"InvertReg"	"BenSampID"	"RepNum"	"CollDate"	"Comments"	"CollMeth"	"FieldGearID"	"Habitat"	"WQX_FinalID"	"FinalID"	"Individuals"	"IndividualsCorrected"	"LargeRare"	"Stage"
"LCECL018.17"	34.5642222	-111.1475833	"Perennial"	"15020008-009"	6460	"cold"	3357	1	2007-05-01	"NA"	"EMAP Multihab bugs"	"D-frame di"	"Multi-habitat"	"Ablabesmyia"	"Ablabesmyia"	18	32.0398718405126	FALSE	"X"
"LCECL021.13"	34.5508106	-111.1615864	"Perennial"	"15020008-009"	6500	"cold"	3359	1	2007-05-02	"NA"	"EMAP Multihab bugs"	"D-frame di"	"Multi-habitat"	"Ablabesmyia"	"Ablabesmyia"	28	47.8796169630643	FALSE	"X"
"LCLCR211.73"	34.8968333	-110.1812778	"Perennial"	"15020008-020"	5070	"cold"	3372	1	2007-04-24	"Habitat: Impaired"	"ADEQ Riffle Bugs"	"D-frame di"	"Edge"	"Ablabesmyia"	"Ablabesmyia"	4	4	FALSE	"X"
"LCLCR211.73"	34.8968333	-110.1812778	"Perennial"	"15020008-020"	5070	"cold"	3373	1	2007-04-25	"Habitat: Impaired"	"EMAP Multihab bugs"	"D-frame di"	"Multi-habitat"	"Ablabesmyia"	"Ablabesmyia"	2	2	FALSE	"X"
"LCLCR311.31"	34.4260486	-109.4029228	"Perennial"	"15020002-024"	5840	"cold"	3377	1	2007-04-10	"NA"	"EMAP Multihab bugs"	"D-frame di"	"Multi-habitat"	"Ablabesmyia"	"Ablabesmyia"	4	16.40016400164	FALSE	"X"
"LCLCR340.02"	34.1517778	-109.2945278	"Perennial"	"15020001-009"	6900	"cold"	3378	1	2007-04-18	"Habitat: Impaired"	"EMAP Multihab bugs"	"D-frame di"	"Multi-habitat"	"Ablabesmyia"	"Ablabesmyia"	1	16	FALSE	"X"
"LCSHL029.75"	34.1794444	-109.9877778	"Perennial"	"15020005-012"	6610	"cold"	3400	1	2007-06-26	"NA"	"EMAP Multihab bugs"	"D-frame di"	"Multi-habitat"	"Ablabesmyia"	"Ablabesmyia"	8	8.32033281331253	FALSE	"X"
"LCSHL029.75"	34.1794444	-109.9877778	"Perennial"	"15020005-012"	6610	"cold"	3401	1	2007-06-27	"NA"	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Ablabesmyia"	"Ablabesmyia"	1	2.67022696929239	FALSE	"X"
"LCSHL031.05"	34.1717	-109.9832778	"Perennial"	"15020005-012"	6660	"cold"	3402	1	2007-04-16	"NA"	"EMAP Multihab bugs"	"D-frame di"	"Multi-habitat"	"Ablabesmyia"	"Ablabesmyia"	4	12.001200120012	FALSE	"X"
"MGTUL005.21"	34.0118386	-112.2750253	"Perennial"	"15070102-079"	2230	"warm"	3541	1	1993-04-26	"Reloaded by akc- replacing BenSampID3198 because of missing ben data"	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	13	52	FALSE	"X"
"SCRED008.94"	31.5237778	-110.6425278	"Perennial"	"15050301-576"	4650	"warm"	3543	1	1993-04-08	"Reloaded by akc- replacing BenSampID3208 because of missing ben data"	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Ablabesmyia"	"Ablabesmyia"	3	48	FALSE	"X"
"BWBSR034.68"	34.6634167	-113.5805	"Perennial"	"15030201-004"	1840	"warm"	3764	1	2010-06-14	"2010 AZDEQ Fall Benthos (pin 5539.1).xls"	"ADEQ Riffle bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	1	TRUE	"A"
"VRPIE016.49"	34.4210325	-111.4409	"Perennial"	"15060203-049"	5760	"cold"	3818	1	2011-06-14	"2011 AZDEQ Spring Benthos taxa(pin 5539.2).xls"	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	1	TRUE	"A"
"SCSON016.78"	31.5263333	-110.7772778	"Perennial"	"15050301-013C"	4000	"warm"	3830	1	2012-04-17	"Riffle/edge, 2012 AZ DEQ Benthos Taxa (pin6239.1).xls"	"ADEQ Riffle bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	9.6	FALSE	"A"
"UGEAG040.33"	33.2943656	-109.4946633	"Perennial"	"15040005-027"	4645	"warm"	3845	1	2012-05-16	"2012 AZ DEQ Benthos Taxa (pin6239.1).xls"	"ADEQ Riffle bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	1	FALSE	"A"
"MGHSR058.80"	34.0451667	-112.7101111	"Perennial"	"15070103-004"	2236	"warm"	3935	1	2015-04-15	"2015 AZDEQ Benthos Taxa (pin7251.01).xlsx"	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	1.30612244897959	FALSE	"A"
"SRHAY000.04"	33.8088889	-109.4221667	"Perennial"	"15060101-353"	7900	"cold"	3616	1	2008-06-17	"2008 AZDEQ Benthos Taxa (pin5154.5)"	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	1	FALSE	"L"
"VRSYH000.25"	34.0796208	-111.7018136	"Perennial"	"15060203-055"	2080	"warm"	3645	1	2008-05-16	"2008 AZDEQ Benthos Taxa (pin5154.5)"	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	2	2	TRUE	"L"
"SRCYN045.73"	34.2583586	-110.7956817	"Perennial"	"15060103-014"	6270	"cold"	3677	1	2008-10-21	"2008 AZDEQ Fall Benthos Taxa (pin5154.3).xls"	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	2	2	TRUE	"L"
"BWTRT002.43"	34.94675	-113.6166667	"Perennial"	"15030201-014"	2550	"warm"	3769	1	2010-06-11	"2010 AZDEQ Fall Benthos (pin 5539.1).xls"	"ADEQ Riffle bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	48	TRUE	"L"
"BWPEE003.51"	34.3761389	-113.2710278	"Perennial"	"15030203-524"	2440	"warm"	3850	1	2013-04-02	"2013 AZ DEQ Benthos Taxa (pin6239.2).xlsx"	"ADEQ Riffle bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	1	TRUE	"L"
"SPBHC004.31"	32.4063333	-110.5407778	"Perennial"	"15050203-010A"	3160	"warm"	3865	1	2013-04-16	"2013 AZ DEQ Benthos Taxa (pin6239.2).xlsx"	"ADEQ Riffle bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	1	TRUE	"L"
"SRBWL005.79"	33.5994722	-109.45	"Perennial"	"15060101-023"	6400	"cold"	3869	1	2013-06-11	"2013 AZ DEQ Benthos Taxa (pin6239.2).xlsx"	"ADEQ Riffle bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	1	TRUE	"L"
"UGBON006.41"	32.9565628	-109.5318014	"Perennial"	"15040005-030"	3180	"warm"	3878	1	2013-05-07	"2013 AZ DEQ Benthos Taxa (pin6239.2).xlsx"	"ADEQ Riffle bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	1	TRUE	"L"
"UGSFR034.57"	33.2009444	-109.1491389	"Perennial"	"15040004-004"	3980	"warm"	3883	1	2013-05-22	"2013 AZ DEQ Benthos Taxa (pin6239.2).xlsx"	"ADEQ Riffle bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	1	TRUE	"L"
"VRROU002.93"	34.1395906	-111.84675	"Perennial"	"15060203-853"	3300	"warm"	3889	1	2013-04-24	"2013 AZ DEQ Benthos Taxa (pin6239.2).xlsx"	"ADEQ Riffle bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	1	FALSE	"L"
"SRBGY002.86"	33.46145	-109.27398	"Perennial"	"15060101-361"	7840	"Cold"	3918	1	2014-06-11	"LWJ, 2014 AZ DEQ Benthos Taxa (pin6658.01).xlsx"	"ADEQ Riffle bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	1	FALSE	"L"
"UGBON000.17"	32.8958333	-109.4797222	"Perennial"	"15040005-030"	3150	"warm"	2033	1	1997-09-18	"Raw data from Patti S. fall 1999 - from table 1997"	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	30	FALSE	"X"
"UGSFR019.04"	33.1322222	-109.2833333	"Perennial"	"15040004-003"	3600	"warm"	2039	1	1997-09-18	"Raw data from Patti S. fall 1999 - from table 1997"	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	4	FALSE	"X"
"MGAFR087.06"	34.3140572	-112.0614064	"Perennial"	"15070102-023"	3445	"warm"	2073	1	1993-04-28	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	16	FALSE	"X"
"SRWFB005.34"	33.7941625	-109.4234019	"Perennial"	"15060101-048"	7800	"cold"	2105	1	1993-06-15	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	4	FALSE	"X"
"VRSYH000.25"	34.0796208	-111.7018136	"Perennial"	"15060203-055"	2080	"warm"	2123	1	1993-05-13	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	8	FALSE	"X"
"MGANT013.35"	34.1959989	-112.7150386	"Perennial"	"15070103-010"	3850	"warm"	2156	1	1994-05-03	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	30	FALSE	"X"
"MGLAS004.52"	34.3837786	-112.02585	"Perennial"	"15070102-039"	3840	"warm"	2159	1	1994-05-04	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	15	FALSE	"X"
"SRNBE000.86"	33.5964006	-109.4337589	"Perennial"	"15060101-022"	7740	"cold"	2176	1	1994-06-13	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	30	FALSE	"X"
"SRSAL019.52"	33.9127614	-111.0404581	"Perennial"	"15060103-022"	4820	"warm"	2179	1	1994-05-11	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	60	FALSE	"X"
"VRSYM016.44"	33.7379603	-111.5158294	"Perennial"	"15060203-002"	2060	"warm"	2200	1	1994-05-09	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	15	FALSE	"X"
"BWCNG006.59"	34.7586647	-113.1203044	"Perennial"	"15030202-014"	4360	"warm"	2217	1	1997-04-23	"Raw data from Patti S. fall 1999 - from table 1997"	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	15	FALSE	"X"
"SPRDC012.76"	32.4526264	-110.3158292	"Perennial"	"15050203-014B"	3900	"warm"	2226	1	1997-04-29	"Raw data from Patti S. fall 1999 - from table 1997"	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	30	FALSE	"X"
"MGAFR087.35"	34.3156961	-112.0666111	"Perennial"	"15070102-023"	3480	"warm"	2236	1	1998-04-30	"Raw data from Patti S. fall 1999 - from table 1998"	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	30	FALSE	"X"
"MGANT013.35"	34.1959989	-112.7150386	"Perennial"	"15070103-010"	3850	"warm"	2237	1	1998-04-29	"Raw data from Patti S. fall 1999 - from table 1998"	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	7.5	FALSE	"X"
"SPRMC011.48"	31.43725	-110.3192128	"Perennial"	"15050202-404A"	6175	"cold"	2242	1	1998-05-19	"Raw data from Patti S. fall 1999 - from table 1998"	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	4	FALSE	"X"
"SCCIE019.90"	31.8848589	-110.55486	"Perennial"	"15050302-006A"	4050	"warm"	2250	1	1994-04-21	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	30	FALSE	"X"
"SPSPR126.35"	31.6374217	-110.1755669	"Perennial"	"15050202-006"	3920	"warm"	2259	1	1994-04-06	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	10	TRUE	"X"
"SRCGN009.78"	33.5241747	-111.0872611	"Perennial"	"15060103-037"	3355	"warm"	2260	1	1994-05-12	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	30	FALSE	"X"
"SRREY001.14"	33.8757408	-110.9885925	"Perennial"	"15060103-202"	5065	"cold"	2272	1	1994-05-11	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	15	FALSE	"X"
"SRSAL019.52"	33.9127614	-111.0404581	"Perennial"	"15060103-022"	4820	"warm"	2273	1	1994-05-11	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	1	FALSE	"X"
"UGCMB004.23"	33.7388033	-109.0971569	"Perennial"	"15040004-028"	6670	"cold"	2281	1	1994-06-22	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	30	FALSE	"X"
"UGCOL003.48"	33.7715347	-109.1873933	"Perennial"	"15040004-040"	7850	"cold"	2282	1	1994-06-22	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	15	FALSE	"X"
"UGETK011.80"	31.9087297	-109.2531981	"Perennial"	"15040006-837"	6520	"cold"	2285	1	1994-04-05	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	2	FALSE	"X"
"VRSYW001.72"	34.8822694	-112.0671	"Perennial"	"15060202-026"	3625	"warm"	2294	1	1994-05-19	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	7.5	FALSE	"X"
"VRVER165.07"	34.8936803	-112.2122153	"Perennial"	"15060202-038"	3820	"warm"	2295	1	1994-05-17	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	2	20	FALSE	"X"
"SRSNK001.96"	33.6749136	-109.4516128	"Perennial"	"15060101-045"	7200	"cold"	2300	1	1998-06-10	"Raw data from Patti S. fall 1999 - from table 1998"	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	7.5	FALSE	"X"
"VRROU002.93"	34.1395906	-111.84675	"Perennial"	"15060203-853"	3300	"warm"	2307	1	1998-05-04	"Raw data from Patti S. fall 1999 - from table 1998"	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	30	FALSE	"X"
"VRSPN002.04"	34.7636525	-111.9171233	"Perennial"	"15060202-022"	3480	"warm"	2308	1	1998-05-06	"Raw data from Patti S. fall 1999 - from table 1998"	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	15	FALSE	"X"
"SPWRC000.48"	31.8650172	-109.3298514	"Perennial"	"15050201-433"	6260	"cold"	2312	1	1998-05-11	"Raw data from Patti S. fall 1999 - from table 1998"	"ADEQ Riffle Bugs"	"D-frame di"	"Pool"	"Abedus"	"Abedus"	1	1.76	FALSE	"X"
"BWPEE003.51"	34.3761389	-113.2710278	"Perennial"	"15030203-524"	2440	"warm"	2316	1	1992-05-30	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	3	6	FALSE	"X"
"BWSMR029.44"	34.4002214	-113.1740139	"Perennial"	"15030203-010"	1830	"warm"	2317	1	1992-05-29	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	4	FALSE	"X"
"CGKAN000.26"	36.3942883	-112.6325511	"Perennial"	"15010003-001"	1880	"warm"	2322	1	1992-06-17	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	1	FALSE	"X"
"LCBRB006.74"	34.4944461	-111.1658931	"Perennial"	"15020008-537"	6950	"cold"	2330	1	1992-06-23	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	8	FALSE	"X"
"MGANT013.35"	34.1959989	-112.7150386	"Perennial"	"15070103-010"	3850	"warm"	2349	1	1992-05-08	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	8	FALSE	"X"
"MGLAS004.52"	34.3837786	-112.02585	"Perennial"	"15070102-039"	3840	"warm"	2351	1	1992-05-21	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	2	32	FALSE	"X"
"MGSYD009.13"	34.3473903	-111.9514033	"Perennial"	"15070102-024B"	4090	"warm"	2354	1	1992-05-21	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	16	FALSE	"X"
"SCSYR004.21"	31.4108567	-111.1963458	"Perennial"	"15080200-002"	3790	"warm"	2356	1	1992-04-25	"StationID changed from SCSYC004.21 to match WQDB - akc 10/16/08"	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	2	FALSE	"X"
"SCCIE019.90"	31.8848589	-110.55486	"Perennial"	"15050302-006A"	4050	"warm"	2359	1	1992-04-17	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	4	FALSE	"X"
"SCSCR168.93"	31.3494061	-110.5907764	"Perennial"	"15050301-268"	4630	"warm"	2363	1	1992-04-16	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	4	FALSE	"X"
"SPBAS001.64"	32.3515642	-110.2352486	"Perennial"	"15050203-899B"	4040	"warm"	2366	1	1992-04-07	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	4	FALSE	"X"
"UGCMB004.23"	33.7388033	-109.0971569	"Perennial"	"15040004-028"	6670	"cold"	2391	1	1992-05-18	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	4	FALSE	"X"
"UGLAN000.60"	33.5864811	-109.1296708	"Perennial"	"15040004-500"	5725	"cold"	2398	1	1992-05-19	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	8	FALSE	"X"
"VRPIE000.29"	34.2243308	-111.4885189	"Perennial"	"15060203-049"	3360	"warm"	2406	1	1992-05-04	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	4	FALSE	"X"
"VRSYH000.25"	34.0796208	-111.7018136	"Perennial"	"15060203-055"	2080	"warm"	2408	1	1992-04-27	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	2	FALSE	"X"
"VRSYM016.44"	33.7379603	-111.5158294	"Perennial"	"15060203-002"	2060	"warm"	2409	1	1992-05-03	NA	"ADEQ Riffle Bugs"	"D-frame di"	"Riffle"	"Abedus"	"Abedus"	1	2	FALSE	"X"
