"FinalID"	"Phylum"	"Class"	"Subclass"	"Order"	"Family"	"Tribe"	"Genus"	"Species"	"Variety"	"Poll_Tol_Class"	"pH_class"	"Salinity_class"	"Nitrogen_Uptake_class"	"Oxygen_class"	"Saprobity_class"	"Trophic_class"	"Moisture_class"	"Motility_class"	"Phosphorus_class"	"Nitrogen_class"	"TaxaGroup"	"GroupName"
"Achnanthes hauckiana"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"hauckiana"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes hauckiana var. rostrata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"hauckiana"	"rostrata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes joursacence"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"joursacence"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes laevis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"laevis"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes lanceolata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"lanceolata"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes lanceolata var. dubia"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"lanceolata"	"dubia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes laterostrata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"laterostrata"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes linearis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"linearis"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes minutissima"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"minutissima"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes parvula"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"parvula"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes peragalli"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"peragalli"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes pseudoswazi"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"pseudoswazi"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes rupestoides"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"rupestoides"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes subhudsonis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"subhudsonis"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes suchlandtii"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"suchlandtii"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthes ventralis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Achnanthes"	"ventralis"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthes"
"Achnanthidium"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthidiaceae"	NA	"Achnanthidium"	""	""	3	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	"Achnanthidium"
"Achnanthidium catenatum"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthidiaceae"	NA	"Achnanthidium"	"catenatum"	""	3	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	"Achnanthidium"
"Achnanthidium deflexum"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthidiaceae"	NA	"Achnanthidium"	"deflexum"	""	3	4	2	NA	NA	NA	3	NA	"N"	"L"	"L"	NA	"Achnanthidium"
"Achnanthidium exiguum"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthidiaceae"	NA	"Achnanthidium"	"exiguum"	""	3	4	2	2	1	2	7	3	"N"	NA	NA	NA	"Achnanthidium"
"Achnanthidium minutissimum"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthidiaceae"	NA	"Achnanthidium"	"minutissimum"	""	3	3	2	2	1	2	7	3	"N"	"L"	"L"	NA	"Achnanthidium"
"Achnanthidium rivulare"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthidiaceae"	NA	"Achnanthidium"	"rivulare"	""	3	3	NA	NA	NA	NA	NA	NA	"N"	"L"	"L"	NA	"Achnanthidium"
"Achnanthidium affine"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthidiaceae"	NA	"Achnanthidium"	"affine"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Achnanthidium"
"Adlafia brockmannii"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Naviculaceae"	NA	"Adlafia"	"brockmannii"	""	2	NA	NA	NA	NA	NA	NA	NA	"M"	NA	NA	NA	"Adlafia"
"Adlafia bryophila"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Naviculaceae"	NA	"Adlafia"	"bryophila"	""	2	3	1	1	1	1	3	5	"M"	NA	NA	NA	"Adlafia"
"Adlafia minuscula"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Naviculaceae"	NA	"Adlafia"	"minuscula"	""	2	4	1	NA	NA	2	1	4	"M"	NA	NA	NA	"Adlafia"
"Adlafia minuscula v. muralis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Naviculaceae"	NA	"Adlafia"	"minuscula"	"muralis"	1	4	2	3	3	4	5	3	"M"	NA	NA	NA	"Adlafia"
"Amphipleura pellucida"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Amphipleuraceae"	NA	"Amphipleura"	"pellucida"	""	2	4	2	2	2	4	2	2	"M"	"L"	NA	NA	"Amphipleura"
"Amphora"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Thalassiophysales"	"Catenulaceae"	NA	"Amphora"	""	""	2	NA	NA	NA	NA	NA	NA	NA	"M"	NA	NA	NA	"Amphora"
"Amphora copulata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Thalassiophysales"	"Catenulaceae"	NA	"Amphora"	"copulata"	""	2	4	2	2	2	2	5	1	"M"	NA	NA	NA	"Amphora"
"Amphora inariensis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Thalassiophysales"	"Catenulaceae"	NA	"Amphora"	"inariensis"	""	3	NA	2	NA	NA	NA	1	NA	"M"	NA	NA	NA	"Amphora"
"Amphora montana"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Thalassiophysales"	"Catenulaceae"	NA	"Amphora"	"montana"	""	2	4	2	2	1	2	5	4	"M"	"H"	"H"	NA	"Amphora"
"Amphora ovalis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Thalassiophysales"	"Catenulaceae"	NA	"Amphora"	"ovalis"	""	3	4	2	2	2	2	5	1	"M"	NA	NA	NA	"Amphora"
"Amphora pediculus"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Thalassiophysales"	"Catenulaceae"	NA	"Amphora"	"pediculus"	""	3	4	2	2	2	2	5	3	"M"	NA	"H"	NA	"Amphora"
"Amphora veneta"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Thalassiophysales"	"Catenulaceae"	NA	"Amphora"	"veneta"	""	1	5	3	2	3	4	5	3	"M"	NA	"H"	NA	"Amphora"
"Anomoeoneis costata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Anomoeoneidaceae"	NA	"Anomoeoneis"	"costata"	""	2	NA	4	NA	NA	NA	NA	NA	"M"	NA	NA	NA	"Anomoeoneis"
"Anomoeoneis brachysira"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Anomoeoneidaceae"	NA	"Anomoeoneis"	"brachysira"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Anomoeoneis"
"Asterionella formosa"	NA	NA	NA	NA	NA	NA	"Asterionella"	"formosa"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Asterionella"
"Aulacoseira italica"	"Heterokontophyta"	"Bacillariophyceae"	"Coscinodiscophycidae"	"Aulacoseirales"	"Aulacoseiraceae"	NA	"Aulacoseira"	"italica"	""	3	3	2	2	2	2	4	3	"N"	NA	NA	NA	"Aulacoseira"
"Aulacoseira ambigua"	"Heterokontophyta"	"Bacillariophyceae"	"Coscinodiscophycidae"	"Aulacoseirales"	"Aulacoseiraceae"	NA	"Aulacoseira"	"ambigua"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Aulacoseira"
"Aulacoseira crenulata"	"Heterokontophyta"	"Bacillariophyceae"	"Coscinodiscophycidae"	"Aulacoseirales"	"Aulacoseiraceae"	NA	"Aulacoseira"	"crenulata"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Aulacoseira"
"Aulacoseira distans"	"Heterokontophyta"	"Bacillariophyceae"	"Coscinodiscophycidae"	"Aulacoseirales"	"Aulacoseiraceae"	NA	"Aulacoseira"	"distans"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Aulacoseira"
"Aulacoseira granulata"	"Heterokontophyta"	"Bacillariophyceae"	"Coscinodiscophycidae"	"Aulacoseirales"	"Aulacoseiraceae"	NA	"Aulacoseira"	"granulata"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Aulacoseira"
"Aulacoseira granulata var. angustissima"	"Heterokontophyta"	"Bacillariophyceae"	"Coscinodiscophycidae"	"Aulacoseirales"	"Aulacoseiraceae"	NA	"Aulacoseira"	"granulata"	"angustissima"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Aulacoseira"
"Aulacoseira muzzanensis"	"Heterokontophyta"	"Bacillariophyceae"	"Coscinodiscophycidae"	"Aulacoseirales"	"Aulacoseiraceae"	NA	"Aulacoseira"	"muzzanensis"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Aulacoseira"
"Aulacoseira varians"	"Heterokontophyta"	"Bacillariophyceae"	"Coscinodiscophycidae"	"Aulacoseirales"	"Aulacoseiraceae"	NA	"Aulacoseira"	"varians"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Aulacoseira"
"Berkeleya rutilans"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Berkeleya"	"rutilans"	""	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Berkeleya"
"Brachysira microcephala"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Brachysiraceae"	NA	"Brachysira"	"microcephala"	""	3	4	2	1	2	1	2	2	"M"	"L"	NA	NA	"Brachysira"
"Caloneis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Pinnulariaceae"	NA	"Caloneis"	""	""	3	NA	NA	NA	NA	NA	NA	NA	"M"	NA	NA	NA	"Caloneis"
"Caloneis bacillum"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Pinnulariaceae"	NA	"Caloneis"	"bacillum"	""	2	4	2	1	2	2	4	2	"M"	NA	NA	NA	"Caloneis"
"Caloneis amphisbaena"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Pinnulariaceae"	NA	"Caloneis"	"amphisbaena"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Caloneis"
"Caloneis bacillaris"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Pinnulariaceae"	NA	"Caloneis"	"bacillaris"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Caloneis"
"Caloneis bacillaris var. thermalis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Pinnulariaceae"	NA	"Caloneis"	"bacillaris"	"thermalis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Caloneis"
"Caloneis girdle sp."	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Pinnulariaceae"	NA	"Caloneis"	"girdle"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Caloneis"
"Caloneis lewisii"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Pinnulariaceae"	NA	"Caloneis"	"lewisii"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Caloneis"
"Caloneis schumanniana"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Pinnulariaceae"	NA	"Caloneis"	"schumanniana"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Caloneis"
"Caloneis silicula"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Pinnulariaceae"	NA	"Caloneis"	"silicula"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Caloneis"
"Caloneis ventricosa var. minuta"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Pinnulariaceae"	NA	"Caloneis"	"ventricosa"	"minuta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Caloneis"
"Campylodiscus noricus"	NA	NA	NA	NA	NA	NA	"Campylodiscus"	"noricus"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Campylodiscus"
"Cavinula scutiformis"	NA	NA	NA	NA	NA	NA	"Cavinula"	"scutiformis"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cavinula"
"Chamaepinnularia"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Naviculaceae"	NA	"Chamaepinnularia"	""	""	2	NA	NA	NA	NA	NA	NA	NA	"M"	NA	NA	NA	"Chamaepinnularia"
"Chamaepinnularia bremensis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Naviculaceae"	NA	"Chamaepinnularia"	"bremensis"	""	2	NA	NA	NA	NA	NA	NA	NA	"M"	NA	NA	NA	"Chamaepinnularia"
"Chamaepinnularia evanida"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Naviculaceae"	NA	"Chamaepinnularia"	"evanida"	""	2	3	2	1	1	1	3	4	"M"	NA	NA	NA	"Chamaepinnularia"
"Cocconeis pediculus"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Cocconeis"	"pediculus"	""	3	4	3	2	2	2	5	1	"N"	NA	NA	NA	"Cocconeis"
"Cocconeis placentula"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Cocconeis"	"placentula"	""	3	4	2	2	3	2	5	2	"N"	NA	NA	NA	"Cocconeis"
"Cocconeis placentula sensu lato"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Cocconeis"	"placentula"	"lato"	3	4	2	2	3	2	5	1	"N"	NA	NA	NA	"Cocconeis"
"Cocconeis placentula var. lineata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Cocconeis"	"placentula"	"lineata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cocconeis"
"Cocconeis girdle sp."	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Cocconeis"	"girdle"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cocconeis"
"Cocconeis neodiminuta"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Cocconeis"	"neodiminuta"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cocconeis"
"Cocconeis placentula var. euglypta"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Achnanthales"	"Achnanthaceae"	NA	"Cocconeis"	"placentula"	"euglypta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cocconeis"
"Craticula accomoda"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Stauroneidaceae"	NA	"Craticula"	"accomoda"	""	1	4	2	4	5	5	6	2	"M"	"H"	"H"	NA	"Craticula"
"Craticula buderi"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Stauroneidaceae"	NA	"Craticula"	"buderi"	""	2	NA	NA	NA	NA	NA	NA	NA	"M"	NA	NA	NA	"Craticula"
"Craticula cuspidata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Stauroneidaceae"	NA	"Craticula"	"cuspidata"	""	2	4	2	2	3	3	5	1	"M"	"H"	"H"	NA	"Craticula"
"Craticula molestiformis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Stauroneidaceae"	NA	"Craticula"	"molestiformis"	""	2	4	2	3	4	4	5	3	"M"	"H"	"H"	NA	"Craticula"
"Craticula subminuscula"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Naviculales"	"Stauroneidaceae"	NA	"Craticula"	"subminuscula"	""	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Craticula"
"Cyclostephanos invisitatus"	"Heterokontophyta"	"Bacillariophyceae"	"Coscinodiscophycidae"	"Thalassiosirales"	"Stephanodiscaceae"	NA	"Cyclostephanos"	"invisitatus"	""	2	NA	NA	NA	NA	NA	NA	NA	"N"	"H"	NA	NA	"Cyclostephanos"
"Cyclotella"	"Heterokontophyta"	"Bacillariophyceae"	"Coscinodiscophycidae"	"Thalassiosirales"	"Stephanodiscaceae"	NA	"Cyclotella"	""	""	3	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	"Cyclotella"
"Cyclotella meneghiniana"	"Heterokontophyta"	"Bacillariophyceae"	"Coscinodiscophycidae"	"Thalassiosirales"	"Stephanodiscaceae"	NA	"Cyclotella"	"meneghiniana"	""	2	4	3	3	5	4	5	2	"N"	"H"	"H"	NA	"Cyclotella"
"Cyclotella comensis"	"Heterokontophyta"	"Bacillariophyceae"	"Coscinodiscophycidae"	"Thalassiosirales"	"Stephanodiscaceae"	NA	"Cyclotella"	"comensis"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cyclotella"
"Cyclotella stelligera"	"Heterokontophyta"	"Bacillariophyceae"	"Coscinodiscophycidae"	"Thalassiosirales"	"Stephanodiscaceae"	NA	"Cyclotella"	"stelligera"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cyclotella"
"Cylindrotheca gracilis"	NA	NA	NA	NA	NA	NA	"Cylindrotheca"	"gracilis"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cylindrotheca"
"Cymatopleura solea"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Surirellales"	"Surirellaceae"	NA	"Cymatopleura"	"solea"	""	2	4	2	2	3	2	5	1	"H"	NA	NA	NA	"Cymatopleura"
"Cymbella"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	""	""	3	NA	NA	NA	NA	NA	NA	NA	"V"	NA	NA	NA	"Cymbella"
"Cymbella affinis"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"affinis"	""	3	4	2	1	1	2	5	2	"V"	"L"	"L"	NA	"Cymbella"
"Cymbella compacta"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"compacta"	""	3	4	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	"Cymbella"
"Cymbella excisa"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"excisa"	""	3	4	2	1	1	2	5	2	"V"	NA	NA	NA	"Cymbella"
"Cymbella hantzschiana"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"hantzschiana"	""	3	NA	NA	NA	NA	NA	NA	NA	"V"	NA	NA	NA	"Cymbella"
"Cymbella neocistula"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"neocistula"	""	3	NA	NA	NA	NA	NA	NA	NA	"V"	NA	NA	NA	"Cymbella"
"Cymbella turgidula"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"turgidula"	""	3	4	2	1	1	2	5	2	"V"	NA	NA	NA	"Cymbella"
"Cymbella cistula"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"cistula"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
"Cymbella cuspidata"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"cuspidata"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
"Cymbella hustedtii"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"hustedtii"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
"Cymbella mexicana"	"Heterokontophyta"	"Bacillariophyceae"	"Bacillariophycidae"	"Cymbellales"	"Cymbellaceae"	NA	"Cymbella"	"mexicana"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cymbella"
