COMID	Reach Mod Status	Reach Mod Status Reasoning	Reach Flow Status	Reach Flow Status Reasoning
17586858	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17586890	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17586914	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17586916	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17586924	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
17587608	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17587688	NA	01_Ftype_NA	NA	00_Ftype_NA_2
17590108	Unk	05YN_LULC_LikeDist	Intermittent	05N2_RipVeg
17590158	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17590184	Unk	05YN_LULC_LikeDist	Perennial	05N1_SSURGO
17590188	Unk	05YN_LULC_LikeDist	Perennial	05N1_SSURGO
17590212	Unk	05YN_LULC_LikeDist	Perennial	05N1_SSURGO
17590226	Unk	05YN_LULC_LikeDist	Perennial	05N1_SSURGO
17590260	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17590266	Unk	05YN_LULC_LikeDist	Intermittent	05N2_RipVeg
17590272	LikelyNat	06_LULC_Nat	Perennial	05N1_SSURGO
17590316	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17590942	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17591228	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17591260	Unk	05YN_LULC_LikeDist	Perennial	05N1_SSURGO
17591288	Unk	05YN_LULC_LikeDist	Perennial	05N1_SSURGO
17592072	Mod	02_Ftype_Mod	Ephemeral	02Y_UplandVeg
17593509	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
17593519	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
17593527	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
17593561	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17594037	Mod	02_Ftype_Mod	Intermittent	05Y2_Int
17594701	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
17594893	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
17594895	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17595151	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
17595171	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17595173	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
17595175	LikelyMod	03_Dam	Intermittent	05Y2_Int
17595179	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17595185	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
17595187	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17595193	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17595195	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17595197	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17595199	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17595201	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17595213	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
17595227	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17595229	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
17595231	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
17595233	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17595239	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
17595245	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17595257	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
17595259	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17595275	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17595281	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
17595309	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17595311	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17595355	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17595377	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17595379	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17595385	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
17595397	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17595399	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
17595403	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
17595417	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
17595431	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17595435	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17595437	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17595463	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17595465	Natural	04Y_LULC_Nat	Intermittent	05Y2_Int
17595469	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
17596075	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
17596079	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
17596095	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
17596137	Natural	04Y_LULC_Nat	Ephemeral	02Y_UplandVeg
17612485	NA	01_Ftype_NA	NA	00_Ftype_NA_2
20325131	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20325135	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20325137	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
20325175	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20325177	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
20325189	Natural	04Y_LULC_Nat	Perennial	01_Fcode
20325193	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20325195	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
20325213	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20325217	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
20325221	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
20325223	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20325227	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20325235	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20325249	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20325253	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20325273	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20325325	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20325353	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20325355	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20325461	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20325483	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20325525	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
20325547	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20325571	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20325595	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
20325601	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
20325603	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20325611	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20325613	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
20325621	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20325627	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20325665	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
20325683	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
20325685	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
20325709	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20326337	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
20326355	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
20326361	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
20326435	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
20328654	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
20329230	Mod	02_Ftype_Mod	Ephemeral	02Y_UplandVeg
20329458	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
20329468	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
20329524	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20329622	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20329630	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
20329682	Unk	05YN_LULC_LikeDist	Perennial	05N1_SSURGO
20329684	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
20329690	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
20329692	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
20329716	Unk	05YN_LULC_LikeDist	Ephemeral	05Y3_Ephem
20329728	Unk	05YN_LULC_LikeDist	Perennial	05N1_SSURGO
20329738	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20329762	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20329772	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20329780	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
20329824	Unk	05YN_LULC_LikeDist	Perennial	04_Model13
20329834	Unk	05YN_LULC_LikeDist	Perennial	04_Model13
20329846	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20329910	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20329978	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
20329980	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
20329986	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
20331314	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20331344	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20331392	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
20332408	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20332450	Unk	05YN_LULC_LikeDist	Intermittent	05N2_RipVeg
20332470	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20332514	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20332528	LikelyNat	06_LULC_Nat	Perennial	01_Fcode
20332532	Unk	05YN_LULC_LikeDist	Perennial	05N1_SSURGO
20332546	LikelyNat	06_LULC_Nat	Intermittent	05N2_RipVeg
20332548	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20332568	LikelyNat	06_LULC_Nat	Intermittent	05N2_RipVeg
20332602	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20332650	LikelyNat	06_LULC_Nat	Perennial	04_Model13
20332666	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20332672	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20332680	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20332706	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20332708	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20332718	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20332728	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20332730	Unk	05YN_LULC_LikeDist	Perennial	04_Model13
20332732	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20332734	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20332738	Unk	05YN_LULC_LikeDist	Perennial	04_Model13
20332740	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20332744	Unk	05YN_LULC_LikeDist	Perennial	05N1_SSURGO
20332768	LikelyNat	06_LULC_Nat	Perennial	04_Model13
20332790	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20332796	Unk	05YN_LULC_LikeDist	Perennial	04_Model13
20332806	LikelyNat	06_LULC_Nat	Perennial	04_Model13
20332834	Unk	05YN_LULC_LikeDist	Perennial	04_Model13
20332844	Unk	05YN_LULC_LikeDist	Perennial	04_Model13
20332872	Natural	04Y_LULC_Nat	Ephemeral	02Y_UplandVeg
20332878	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20332910	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
20333016	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20333096	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20333198	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20333258	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20333290	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20333308	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20333324	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20333332	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20333334	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20333346	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20333380	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20333410	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20333450	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20333478	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20333574	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
20333594	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20333620	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20333622	Unk	05YN_LULC_LikeDist	Intermittent	02Y_UplandVeg
20333628	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20333632	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20333658	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
20333664	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20333668	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20333672	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20333688	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20333694	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20333698	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20333728	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
20333730	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20333740	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
20333742	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20333752	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20333796	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20334426	LikelyNat	06_LULC_Nat	Perennial	04_Model13
20334432	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20334492	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20334672	NA	01_Ftype_NA	NA	00_Ftype_NA_2
20334676	NA	01_Ftype_NA	NA	00_Ftype_NA_2
20334688	NA	01_Ftype_NA	NA	00_Ftype_NA_2
20334696	NA	01_Ftype_NA	NA	00_Ftype_NA_2
20337534	Mod	02_Ftype_Mod	Ephemeral	05Y3_Ephem
20341461	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20341525	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20341527	LikelyNat	06_LULC_Nat	Intermittent	05N2_RipVeg
20341867	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20342953	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20342955	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20342975	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20342977	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20342987	Unk	05YN_LULC_LikeDist	Intermittent	05N2_RipVeg
20342995	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20343015	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20343017	LikelyNat	06_LULC_Nat	Intermittent	05N2_RipVeg
20343113	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20343115	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20343151	Unk	05YN_LULC_LikeDist	Intermittent	05N2_RipVeg
20343179	Unk	05YN_LULC_LikeDist	Intermittent	05N2_RipVeg
20343365	Unk	05YN_LULC_LikeDist	Ephemeral	05Y3_Ephem
20343381	NA	01_Ftype_NA	NA	00_Ftype_NA_2
20343401	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20343409	Mod	02_Ftype_Mod	Intermittent	05Y2_Int
20343411	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20343439	Mod	02_Ftype_Mod	Intermittent	05Y2_Int
20343451	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20344401	Unk	05YN_LULC_LikeDist	Ephemeral	05Y3_Ephem
20344405	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20344417	Mod	02_Ftype_Mod	Ephemeral	05Y3_Ephem
20344431	NA	01_Ftype_NA	NA	00_Ftype_NA_2
20346065	Mod	02_Ftype_Mod	Ephemeral	02Y_UplandVeg
20348183	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20348185	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348187	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
20348189	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348191	LikelyNat	06_LULC_Nat	Perennial	05Y1_Per
20348193	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348195	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
20348197	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20348203	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348205	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20348211	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348221	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348231	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20348233	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20348241	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20348243	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348245	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20348251	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20348257	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
20348267	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348285	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348287	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348293	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20348297	Unk	05YN_LULC_LikeDist	Intermittent	05N2_RipVeg
20348321	LikelyNat	06_LULC_Nat	Ephemeral	05Y3_Ephem
20348331	LikelyNat	06_LULC_Nat	Intermittent	05N2_RipVeg
20348341	Unk	05YN_LULC_LikeDist	Intermittent	05N2_RipVeg
20348345	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348375	Unk	05YN_LULC_LikeDist	Intermittent	05N2_RipVeg
20348377	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348393	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348459	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20348461	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20348463	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20348469	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348473	Unk	05YN_LULC_LikeDist	Intermittent	05N2_RipVeg
20348481	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20348491	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348555	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348557	Unk	05YN_LULC_LikeDist	Intermittent	05N2_RipVeg
20348655	Unk	05YN_LULC_LikeDist	Ephemeral	05N2_RipVeg
20348677	Unk	05YN_LULC_LikeDist	Intermittent	05N2_RipVeg
20348707	LikelyNat	06_LULC_Nat	Intermittent	05N2_RipVeg
20348709	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348723	Unk	05YN_LULC_LikeDist	Intermittent	05N2_RipVeg
20348749	LikelyNat	06_LULC_Nat	Intermittent	05N2_RipVeg
20348751	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348755	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20348769	LikelyNat	06_LULC_Nat	Intermittent	05N2_RipVeg
20348837	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348839	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20348873	Unk	05YN_LULC_LikeDist	Ephemeral	05Y3_Ephem
20348885	LikelyNat	06_LULC_Nat	Ephemeral	05Y3_Ephem
20348887	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348903	Unk	05YN_LULC_LikeDist	Intermittent	05N2_RipVeg
20348927	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20348929	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20348931	LikelyNat	06_LULC_Nat	Perennial	05Y1_Per
20348935	Unk	05YN_LULC_LikeDist	Ephemeral	02Y_UplandVeg
20348937	LikelyNat	06_LULC_Nat	Perennial	05Y1_Per
20350499	LikelyNat	06_LULC_Nat	Ephemeral	02Y_UplandVeg
20350501	Unk	05YN_LULC_LikeDist	Perennial	05Y1_Per
20350503	LikelyNat	06_LULC_Nat	Intermittent	05Y2_Int
20350505	Unk	05YN_LULC_LikeDist	Intermittent	05Y2_Int
20350659	Unk	05YN_LULC_LikeDist	Perennial	01_Fcode
